catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
ak tronic software & services gmbh,ak tronic software & services gmbh,ak tronic Software & Services GmbH,NA,Germany,NA,video game industry,
akamon entertainment,akamon entertainment,Akamon Entertainment,akamon.com,Spain,NA,video game industry,
aksys games,aksys games,Aksys Games,aksysgames.com,United States of America,NA,video game industry,
alcatel lucent,alcatel lucent,Alcatel-Lucent,alcatel-lucent.com,France,Nokia,telecommunication|software,
alchemyapi,alchemyapi,AlchemyAPI,NA,NA,IBM,software as a service,
alcot,alcot,ALcot,alcot.biz,Japan,NA,video game industry,
aldon,aldon,Aldon Inc.,rocketsoftware.com,United States of America,NA,software,
aldus,aldus,Aldus,NA,United States of America,NA,software|software industry,
alex zink filzfabrik,alex zink filzfabrik,Alex Zink Filzfabrik,NA,Germany,NA,Manufacture of other technical and industrial textiles|Manufacture of other textiles n.e.c.|textile and clothing industry,
alibaba,alibaba,Alibaba Group,_alibaba-inc.com,China,,,1
algeta,algeta,Algeta,bayer.no,NA,NA,biotechnology,
algopack,algopack,Algopack,algopack.com,NA,NA,biotechnology,
aligned assets,aligned assets,Aligned Assets,aligned-assets.co.uk,NA,NA,software industry,
all in! games,all in! games,All in! Games,allingames.com,Poland,NA,video game industry,
allgovision,allgovision,AllGoVision,NA,NA,NA,software industry,
allied american university,allied american university,Allied American University,allied.edu,United States of America,NA,educational technology,
alligata software ltd,alligata software ltd,Alligata Software Ltd.,NA,United Kingdom,NA,video game industry,
allscripts,allscripts,Allscripts,allscripts.com,United States of America,NA,information technology|health informatics,
allset business solutions,allset business solutions,Allset Business Solutions,NA,India,NA,information technology,
allstate northern ireland,allstate northern ireland,Allstate Northern Ireland,allstate.com,NA,NA,software industry,
allumer,allumer,Allumer,NA,NA,NA,video game industry,
alpha data,alpha data,Alpha Data,alpha.ae,NA,NA,information and communications technology,
alphabet,alphabet,Alphabet Inc.,abc.xyz,United States of America,NA,information technology,
alphawest,alphawest,Alphawest,alphawest.com.au,Australia,NA,information and communications technology,
altair engineering,altair engineering,Altair Engineering,altair.com,United States of America,NA,software,
alten8,alten8,Alten8,alten8.com,United Kingdom,NA,video game industry,
alternative software,alternative software,Alternative Software,alternativesoft.co.uk,United Kingdom,NA,video game industry,
alteryx,alteryx,Alteryx,alteryx.com,United States of America,NA,software|data analytics software industry,
altia,altia,Altia,altia.es,Ireland|Spain|United States of America|Portugal|Netherlands|Brazil|Chile,NA,information technology consulting,
altibase,altibase,Altibase,NA,NA,NA,enterprise software,
altjapan co ltd,altjapan co ltd,"AltJapan Co., Ltd.",NA,Japan,NA,video game industry,
altova,altova,Altova,altova.com,NA,NA,software,
altsys,altsys,Altsys,NA,United States of America,Macromedia,software development,
amadeus crs,amadeus crs,Amadeus CRS,amadeus.com,Spain,NA,software company,
amax engineering corporation,amax engineering corporation,AMAX Engineering Corporation,amax.com,United States of America,NA,information technology,
amazon|amazon.com|amazoncom|amzn,amazon|amazon.com|amazoncom|amzn,"Amazon.com, Inc.",amazon.com,United States of America,,,1
capgemini,capgemini,Capgememi SE,capgemini.com,,,,1
epam,epam,"EPAM Systems, Inc.",epam.com,,,,1
shopify,shopify,"Shopify, Inc.",shopify.com,,,,1
nokia,nokia,Nokia,nokia.com,,,,1
booking.com,booking.com,Booking.com,booking.com,,,,1
deloitte,deloitte,Deloitte Consulting,deloitte.com,,,,1
bloomberg,bloomberg,Bloomberg,bloomberg.com,,,,1
square,square,Square,square.com,,,,1
thomson reuters,thomson reuters,Thomson Reuters,thomsonreuters.com,,,,1
bbc,bbc,BBC News,bbc.com,,,,1
airbnb,airbnb,AirBNB,airbnb.com,,,,1
andela,andela,Andela,andela.com,,,,1
twitter,twitter,Twitter,twitter.com,,,,1
lyft,lyft,Lyft,lyft.com,,,,1
uber,uber,Uber,uber.com,,,,1
wso2,wso2,WSO2,wso2.com,,,,1
wix,wix,Wix,wix.com,,,,1
automattic,automattic,Automattic,automattic.com,,,,1
rackspace,rackspace,Rackspace,rackspace.com,,,,1
mozilla,mozilla,Mozilla,mozilla.com,,,,1
netflix,netflix,Netflix,netlfix.com,,,,1
baidu,baidu,Baidu,baidu.com,,,,1
samsung,samsung,Samsung,samsung.com,,,,1
capital one,capital one,Capital One,capitalone.com,,,,1
nvidia,nvidia,Nvidia,nvidia.com,,,,1
cisco|cisco systems,cisco|cisco systems,Cisco Inc.,cisco.com,,,,1
linkedin,linkedin,LinkedIn,linkedin.com,,,,1
salesforce,salesforce,Salesforce,salesforce.com,,,,1
amazon web services|aws,amazon web services|aws,"Amazon Web Services, Inc.",aws.com,United States of America,Amazon,,1
amazon games,amazon games,Amazon Games,amazongames.com,NA,Amazon,video game industry,
amber road,amber road,"Amber Road, Inc.",de.amberroad.com,NA,NA,enterprise software,
american laser games,american laser games,American Laser Games,NA,United States of America,NA,video game industry,
american video entertainment,american video entertainment,American Video Entertainment,NA,United States of America,NA,video game industry,
amiga,amiga,"Amiga, Inc.",NA,United States of America,NA,video game industry,
amok entertainment,amok entertainment,Amok Entertainment,NA,United States of America,NA,video game industry,
amro biotech plc,amro biotech plc,AMRO BIOTECH PLC,NA,United Kingdom,NA,biotechnology industry,
amsoft,amsoft,Amsoft,NA,United Kingdom,Amstrad,software industry|video game industry,
analogue,analogue,Analogue Inc.,analogue.co,United States of America,NA,video game industry,
anaplan,anaplan,Anaplan,anaplan.com,United States of America,NA,business software industry,
anco software,anco software,Anco Software,anco.co.uk,United Kingdom,NA,video game industry,
andamiro,andamiro,Andamiro,andamiro.com,South Korea,NA,video game industry,
andersen,andersen,Andersen,andersenlab.com,NA,NA,custom software|software development|enterprise software,
andrea electronics,andrea electronics,Andrea Electronics,andreaelectronics.com,United States of America,NA,video game industry,
angel,angel,Angel,NA,Japan,NA,video game industry,
angoss,angoss,Angoss,angoss.com,NA,NA,software industry,
animation magic,animation magic,Animation Magic,NA,United States of America,NA,video game industry,
animo creative works limited,animo creative works limited,Animo Creative Works Limited,NA,Japan,NA,video game industry,
animoca brands,animoca brands,Animoca Brands,animocabrands.com,NA,NA,software development|video game industry|blockchain,
anite,anite,Anite,NA,United Kingdom,NA,software,
ankama,ankama,Ankama,ankama.com,NA,NA,video game industry,
anodot,anodot,Anodot,anodot.com,United States of America,NA,software industry,
anoto,anoto,Anoto,anoto.com,NA,NA,software as a service,
answerdash,answerdash,AnswerDash,answerdash.com,NA,CloudEngage,software industry,
ansys,ansys,Ansys,ansys.com,United States of America,NA,software,
antibody solutions,antibody solutions,Antibody Solutions,antibody.com,United States of America,NA,biotechnology,
anuman,anuman,Anuman,anuman-interactive.com,France,Média-Participations,video game industry,
anydoc software,anydoc software,AnyDoc Software,onbase.com,United States of America,NA,software,
anystream,anystream,Anystream,anystream.com,NA,NA,software,
aobiome,aobiome,AOBiome,NA,NA,NA,biotechnology industry,
aol,aol,AOL,aol.com,United States of America,Verizon,mass media|software industry|technology industry|media industry|internet industry,
aoni production,aoni production,Aoni Production,aoni.co.jp,Japan,NA,video game industry,
aplazame,aplazame,Aplazame,aplazame.com,Spain,NA,financial technology,
apogee entertainment,apogee entertainment,Apogee Entertainment,apogeeent.com,NA,NA,video game industry,
apogee software,apogee software,Apogee Software,NA,United States of America,NA,video game industry,
app annie,app annie,App Annie,appannie.com,NA,NA,software,
appaloosa interactive,appaloosa interactive,Appaloosa Interactive,NA,United States of America,NA,video game industry,
appextremes,appextremes,AppExtremes,congamerge.com,NA,NA,software,
appfolio,appfolio,AppFolio,appfolioinc.com,NA,NA,software,
appian corporation,appian corporation,Appian Corporation,appian.com,NA,NA,cloud computing|software industry,
appirio,appirio,Appirio,appirio.com,NA,NA,software industry,
applause,applause,Applause,applause.com,United States of America,NA,software testing,
apple,apple,Apple Inc.,apple.com,United States of America,NA,electronics|information technology|digital distribution|consumer electronics|software industry|mobile phone industry,
applied biosystems,applied biosystems,Applied Biosystems,thermofisher.com,United States of America,NA,biotechnology,
applied data research,applied data research,Applied Data Research,NA,NA,NA,information technology,
applied genetic technologies corporation,applied genetic technologies corporation,Applied Genetic Technologies Corporation,agtc.com,United States of America,NA,biotechnology,
applied maths,applied maths,Applied Maths,NA,NA,NA,biotechnology,
applied predictive technologies,applied predictive technologies,Applied Predictive Technologies,predictivetechnologies.com,United States of America,NA,software as a service,
applied science international,applied science international,Applied Science International,appliedscienceint.com,NA,NA,software industry,
applix,applix,Applix,NA,NA,NA,software,
applovin,applovin,AppLovin,applovin.com,United States of America,NA,software industry,
appsumo,appsumo,AppSumo,appsumo.com,NA,NA,sales|software industry,
apptio,apptio,Apptio,apptio.com,United States of America,NA,software industry,
aprimo,aprimo,Aprimo,aprimo.com,NA,NA,software,
aps payroll,aps payroll,APS Payroll,apspayroll.com,NA,NA,software as a service,
aqris,aqris,Aqris,aqris.com,Estonia,NA,software development,
aquabounty technologies,aquabounty technologies,AquaBounty Technologies,aquabounty.com,United States of America,NA,biotechnology,
aquafadas,aquafadas,Aquafadas,aquafadas.com,Canada,Rakuten,software industry,
aquaplus,aquaplus,Aquaplus,aquaplus.jp,Japan,NA,video game industry,
aquin components,aquin components,Aquin Components,aquin.com,NA,NA,software industry,
aquria,aquria,Aquria,aquria.co.jp,Japan,NA,video game industry,
aras corp,aras corp,Aras Corp,aras.com,United States of America,NA,enterprise software,
arbor networks,arbor networks,Arbor Networks,arbornetworks.com,NA,NA,software industry,
arc developments,arc developments,Arc Developments,NA,United Kingdom,NA,video game industry,
arc technology group,arc technology group,Arc Technology Group,arctg.com,NA,NA,Web content management system|IT service management|information technology consulting,
arcada software,arcada software,Arcada Software,NA,United States of America,NA,software industry,
archipelago learning,archipelago learning,Archipelago Learning,archipelagolearning.com,United States of America,NA,educational software,
arcos,arcos,"ARCOS, Inc.",arcos-inc.com,NA,NA,software,
arcsight,arcsight,ArcSight,software.microfocus.com,United States of America,NA,software industry,
ardence,ardence,Ardence,ardence.com,United States of America,NA,software,
areae,areae,Areae,metaplace.com,NA,NA,video game,
arenanet,arenanet,ArenaNet,arena.net,United States of America,NCsoft,video game industry,
arg informatique,arg informatique,ARG Informatique,NA,NA,NA,video game industry,
argentonia,argentonia,Argentonia,argentonia.com.ar,Argentina,NA,technology industry,
arika,arika,Arika,arika.co.jp,Japan,NA,video game industry,
aristaflow,aristaflow,AristaFlow,aristaflow.com,Germany,NA,software,
arivade,arivade,ARIVA.DE,ariva.de,Germany,NA,information technology,
arjohuntleigh,arjohuntleigh,ArjoHuntleigh,arjo.com,Sweden,NA,health technology,
arocketsru,arocketsru,arockets.ru,arockets.ru,NA,NA,information technology|computer program,
arria nlg,arria nlg,Arria NLG,arria.com,NA,NA,software,
arrive,arrive,Arrive,arrive.no,Norway,Vy,information technology,
arrowhead research,arrowhead research,Arrowhead Research,arrowheadpharma.com,United States of America,NA,biotechnology,
artefacts studio,artefacts studio,Artefacts Studio,artefacts-studio.fr,France,NA,video game industry,
artic software,artic software,Artic Software,NA,United Kingdom,NA,video game industry,
artica soluciones tecnologicas,artica soluciones tecnologicas,Artica Soluciones Tecnologicas,artica.es,Spain,NA,free software|software development|software industry|technology industry,
artifex mundi,artifex mundi,Artifex Mundi,artifexmundi.com,Poland,NA,video game industry,
arts vision,arts vision,Arts Vision,artsvision.co.jp,Japan,NA,video game industry,
artx,artx,ArtX,NA,NA,NA,consumer electronics|video game industry,
arxi,arxi,Arxi,NA,NA,NA,information technology|software industry|internet industry,
asa project,asa project,ASa Project,asa-pro.com,Japan,NA,video game industry,
asana,asana,Asana,asana.com,United States of America,NA,software industry,
asc games,asc games,ASC Games,ascgames.com,United States of America,NA,video game industry,
ascii corporation,ascii corporation,ASCII Corporation,ascii.co.jp,Japan,ASCII Media Works,video game industry,
ascii group,ascii group,ASCII Group,NA,NA,NA,information technology,
ascii media works,ascii media works,ASCII Media Works,asciimw.kadokawa.co.jp,Japan,Kadokawa Group Holdings,video game industry|media industry,
ascon,ascon,ASCON,ascon.net,NA,NA,software,
ashampoo,ashampoo,Ashampoo,ashampoo.de,Germany,NA,software,
ashmanov & partners,ashmanov & partners,Ashmanov & Partners,ashmanov.com,NA,NA,information technology|International Standard Industrial Classification,
ashton tate,ashton tate,Ashton-Tate,NA,United States of America,Borland,software,
asian oceanian computing industry organization,asian oceanian computing industry organization,Asian-Oceanian Computing Industry Organization,asocio.org,NA,NA,information technology,
asigra,asigra,Asigra,asigra.com,Canada,NA,software,
askmenow,askmenow,AskMeNow,NA,NA,NA,search engine technology,
asknicely,asknicely,AskNicely,NA,NA,NA,software industry,
aspectworks group,aspectworks group,AspectWorks Group,aspectworks.com,Czech Republic,NA,information technology,
aspen technology,aspen technology,Aspen Technology,aspentech.com,United States of America,NA,software development,
asseco poland,asseco poland,Asseco Poland,asseco.pl,Poland,NA,software,
asseco solutions ag,asseco solutions ag,Asseco Solutions AG,assecosolutions.com,Germany,NA,software industry,
assemble entertainment,assemble entertainment,Assemble Entertainment,assemble-entertainment.com,Germany,NA,software industry,
astera software,astera software,Astera Software,astera.com,United States of America|Pakistan,NA,software development|software industry,
astrum online entertainment,astrum online entertainment,Astrum Online Entertainment,astrumonline.ru,NA,NA,video game,
asuragen,asuragen,Asuragen,asuragen.com,United States of America,NA,biotechnology,
asure software,asure software,Asure Software,asuresoftware.com,United States of America,NA,software as a service,
asurion,asurion,Asurion,asurion.com,United States of America,NA,information technology,
atara biotherapeutics,atara biotherapeutics,"Atara Biotherapeutics, Inc.",atarabio.com,United States of America,NA,biotechnology|multiple sclerosis|oncology|autoimmune disease|Cellular therapy and transplantation,
atari,atari,Atari,atari.com,United States of America,Warner Communications,video game industry,
atari corporation,atari corporation,Atari Corporation,NA,United States of America,NA,video game industry,
atari sa,atari sa,Atari SA,atari.com,France,NA,video game industry,
atcom,atcom,Atcom,atcom.gr,NA,NA,software industry,
ateam finergy,ateam finergy,Ateam Finergy Inc.,finergy.a-tm.co.jp,Japan,Q11289594,information technology|finance|communication medium|insurance agency,
atempo,atempo,Atempo,atempo.com,France,NA,software,
ati technologies,ati technologies,ATI Technologies,ati.amd.com|ati.com,Canada,Advanced Micro Devices,information technology|microelectronics,
atlantis interactive entertainment,atlantis interactive entertainment,Atlantis Interactive Entertainment,NA,France,NA,video game industry,
atlantis software,atlantis software,Atlantis Software,atlantiscomputing.com,United Kingdom,NA,video game industry,
atlas consortium,atlas consortium,Atlas Consortium,NA,NA,NA,information technology,
atlassian,atlassian,Atlassian,atlassian.com,United States of America,NA,software industry,
atos se,atos se,Atos SE,atos.net,France,NA,IT service management|information technology consulting,
ats medical,ats medical,ATS Medical,atsmedical.com,United States of America,NA,health technology,
attensity,attensity,Attensity,attensity.com,United States of America,NA,software,
attentiv,attentiv,Attentiv,attentiv.com,United States of America,NA,software industry,
attraqt,attraqt,Attraqt,attraqt.com,United Kingdom,NA,software industry,
atypon,atypon,Atypon,atypon.com,United States of America,NA,software,
audio planning u,audio planning u,Audio Planning U,apu.co.jp,Japan,NA,video game industry,
audiocodes,audiocodes,AudioCodes,audiocodes.com,Israel,NA,technology|communication|Voice over Internet Protocol|communication medium|telecommunications industry,
audix,audix,Audix,audixusa.com,United States of America,NA,musical technique,
august,august,August,august-soft.com,Japan,NA,video game industry,
aura commodities,aura commodities,Aura Commodities,auracommodities.com,NA,NA,financial technology,
auriga,auriga,Auriga,auriga.com,NA,NA,information technology|software development|information technology consulting,
aurigo software,aurigo software,Aurigo Software,aurigo.com,United States of America,NA,software,
autodesk,autodesk,Autodesk,autodesk.com,United States of America,NA,software development,
autodesk media and entertainment,autodesk media and entertainment,Autodesk Media and Entertainment,autodesk.com,NA,NA,software industry,
autoform,autoform,AutoForm,autoform.com,NA,NA,software development,
automata uk,automata uk,Automata UK,NA,United Kingdom,NA,video game industry,
automatedqa,automatedqa,AutomatedQA,automatedqa.com,United States of America,NA,software,
automatic duck,automatic duck,Automatic Duck,automaticduck.com,NA,NA,software industry,
automic software,automic software,Automic Software,automic.com,NA,NA,business software,
autumn games,autumn games,Autumn Games,autumngames.com,United States of America,NA,video game industry,
avalanche biotechnologies,avalanche biotechnologies,Avalanche Biotechnologies,adverum.com,NA,NA,biotechnology,
avalanche software,avalanche software,Avalanche Software,avalanchesoftware.com,United States of America,Warner Bros. Interactive Entertainment,video game industry,
avalon interactive,avalon interactive,Avalon Interactive,NA,United Kingdom,NA,video game industry,
avaloq,avaloq,Avaloq,avaloq.com,Switzerland,NA,software|financial technology,
avantcredit,avantcredit,AvantCredit,readyforzero.com,NA,NA,financial services|financial technology,
avast,avast,Avast,NA,United Kingdom,NA,software company,
avast software,avast software,Avast Software,avast.com|kbs.bestantivirus.co.uk,Czech Republic,Avast,software company|computer security industry,
averbis,averbis,Averbis,averbis.com,Germany,NA,software,
aveva,aveva,AVEVA,aveva.com,United Kingdom,NA,software industry,
avex music creative,avex music creative,Avex Music Creative,NA,Japan,Avex Group,video game industry,
avira,avira,Avira,avira.com,Germany,NA,software,
avonni lighting,avonni lighting,Avonni Lighting,avonni.com,Turkey,NA,lighting technic,
ax computerized embroidery,ax computerized embroidery,AX Computerized Embroidery,anhxuyen.vn|theuvitinhanhxuyen.com,NA,NA,technology|retail|service|embroidery,
axact,axact,Axact,axact.com,Pakistan,NA,software industry,
axceler,axceler,Axceler,axceler.com,United States of America,NA,software,
axium,axium,Axium,axium.com,United States of America,NA,software,
axogen,axogen,AxoGen,axogeninc.com,United States of America,NA,biotechnology,
axoni,axoni,Axoni,NA,United States of America,NA,financial technology,
axway software,axway software,Axway Software,axway.fr,NA,NA,information technology|software industry,
ayasdi,ayasdi,Ayasdi,ayasdi.com,United States of America,NA,software industry,
ayo technology solutions (pty) ltd,ayo technology solutions (pty) ltd,Ayo Technology Solutions (Pty) Ltd,ayotsl.com,South Africa,NA,information technology,
ayoxxa biosystems,ayoxxa biosystems,Ayoxxa Biosystems,NA,Germany,NA,biotechnology,
azarab industries company,azarab industries company,Azarab Industries Company,azarab.ir,Iran,NA,electrical engineering|biomedical engineering|powertrain technology|power plant technology,
azul systems,azul systems,Azul Systems,azul.com,United States of America,NA,software,
b scada,b scada,B-Scada,scada.com,NA,NA,software,
bb studio,bb studio,B.B. Studio,bbst.co.jp,Japan,NA,video game industry,
baan corporation,baan corporation,Baan Corporation,NA,NA,NA,software,
babbel,babbel,Babbel,uk.babbel.com,Germany,NA,educational technology,
bakkt,bakkt,Bakkt,bakkt.com,United States of America,Intercontinental Exchange,financial services|financial technology,
balabit,balabit,Balabit,balabit.com,NA,NA,software,
