Unit Id,Institution Name,Name of chief administrator,Title of chief administrator,General information telephone,Office of Postsecondary Education (OPE) ID,Address,Website address
101462,J. F. Drake State Community and Technical College,Dr. Patricia Sims,President,"2,565,398,161",526000,"3421 Meridian St N, Huntsville, AL 35811",https://www.drakestate.edu
101471,J F Ingram State Technical College,Annette Funderburk,President,"33,428,551,773,249",3002500,"5375 Ingram Rd, Deatsville, AL 36022",www.istc.edu
101480,Jacksonville State University,John Beehler,President,"2,567,825,781",102000,"700 Pelham Road North, Jacksonville, AL 36265",www.jsu.edu/
101505,Jefferson State Community College,Keith Brown,President,2058531200,102200,"2601 Carson Rd, Birmingham, AL 35215-3098",www.jeffersonstate.edu/
101514,John C Calhoun State Community College,Dr. Joe Burke,Interim President,"2,563,062,500",101300,"6250 U S Highway 31 N, Tanner, AL 35671",https://calhoun.edu
101541,Judson College,W. Mark Tew,President,"3,346,835,100",102300,"302 Bibb St, Marion, AL 36756",www.judson.edu
101569,Lawson State Community College,Perry W Ward,President,2059252515,105900,"3060 Wilson Rd SW, Birmingham, AL 35221-1717",www.lawsonstate.edu
101587,University of West Alabama,Dr. Ken Tucker,President,2056523400,102400,"Station One, Livingston, AL 35470",www.uwa.edu
101602,Lurleen B Wallace Community College,Bryan Helms,Acting President,"3,342,226,591",898800,"1000 Dannelly Blvd., Andalusia, AL 36420-1418",https://www.lbwcc.edu
101648,Marion Military Institute,Col David J. Mollahan,President,"8,006,641,842",102600,"1101 Washington St, Marion, AL 36756-3207",www.marionmilitary.edu
101675,Miles College,Bobbie Knight,Interim President,"20,592,910,001,645",102800,"5500 Myron Massey Blvd, Fairfield, AL 35064-2621",www.miles.edu
101693,University of Mobile,Dr. Lonnie Burnett,President,"2,516,755,990",102900,"5735 College Parkway Drive, Mobile, AL 36613-2842",www.umobile.edu
101709,University of Montevallo,John W. Stewart III,President,2056656155,100400,"Station 6001, Montevallo, AL 35115-6000",www.montevallo.edu
101736,Northwest-Shoals Community College,Glenda Colagross,President,"2,563,315,200",569700,"800 George Wallace Blvd, Muscle Shoals, AL 35661",https://www.nwscc.edu
101879,University of North Alabama,Kenneth D. Kitts,President,"2,567,654,100",101600,"One Harrison Plaza, Florence, AL 35632-0001",www.una.edu
101897,Northeast Alabama Community College,J. David Campbell,President,"25,663,844,182,201",103100,"138  Highway 35, Rainsville, AL 35986",https://www.nacc.edu
101912,Oakwood University,Leslie Pollard,President,"2,567,267,000",103300,"7000 Adventist Blvd NW, Huntsville, AL 35896",https://www2.oakwood.edu
101994,Reid State Technical College,Mr. David J. Rhodes,Interim President,"2,515,781,313",569200,"100 and Hwy 83, Evergreen, AL 36401",www.rstc.edu
102030,Bishop State Community College,Reginald Sykes,President,"2,514,057,000",103000,"351 North Broad Street, Mobile, AL 36603-5898",www.bishop.edu
102049,Samford University,Andrew Westmoreland,President,2057262011,103600,"800 Lakeshore Drive, Birmingham, AL 35229-2240",www.samford.edu
102067,Shelton State Community College,Dr. William Ashley,President,2053912211,569100,"9500 Old Greensboro Rd, Tuscaloosa, AL 35405-8522",www.sheltonstate.edu
102076,Snead State Community College,Dr. Robert J. Exley,President,"2,565,935,120",103800,"102 Elder Street, Boaz, AL 35957-0734",www.snead.edu
102094,University of South Alabama,Dr. Tony Waldrop,President,"2,514,606,101",105700,"307 N University Blvd, Mobile, AL 36688-0002",www.southalabama.edu
102234,Spring Hill College,Joe Lee,President,"2,513,804,000",104100,"4000 Dauphin St, Mobile, AL 36608-1791",www.shc.edu
102270,Stillman College,Cynthia Warrick,President,2053494240,104400,"3601 Stillman Boulevard, Tuscaloosa, AL 35401",https://stillman.edu
102298,Talladega College,Dr. Billy C. Hawkins,President,"2,567,616,100",104600,"627 West Battle Street, Talladega, AL 35160",www.talladega.edu
102313,H Councill Trenholm State Community College,Mrs. Anita L. Archie,Interim President,"3,344,204,200",573400,"1225 Air Base Blvd, Montgomery, AL 36108-3199",www.trenholmstate.edu
102368,Troy University,"Dr. Jack Hawkins, Jr.",Chancellor,"3,346,703,100",104700,"University Avenue, Troy, AL 36082-0001",www.troy.edu
102377,Tuskegee University,Dr. Lily D. McNair,President,"3,347,278,011",105000,"Kresge Center, 3rd Floor, Tuskegee, AL 36088-1920",www.tuskegee.edu
102395,United States Sports Academy,Dr. Thomas P. Rosandich,President/CEO,"25,162,633,037,141",2170600,"One Academy Drive, Daphne, AL 36526-7055",www.ussa.edu
102429,Bevill State Community College,Dr. Kim Ennis,President,2053870511,573300,"1411 Indiana Avenue, Jasper, AL 35501",www.bscc.edu
102553,University of Alaska Anchorage,Cathy Sandeen,Chancellor,"9,077,861,800",1146200,"3211 Providence Drive, Anchorage, AK 99508",www.uaa.alaska.edu
102580,Alaska Bible College,David Ley,President,"9,077,453,201",884300,"248 E Elmwood Ave, Palmer, AK 99645",www.akbible.edu/
102614,University of Alaska Fairbanks,Daniel M. White,Chancellor,"9,074,747,034",106300,"1731 South Chandalar Drive, Fairbanks, AK 99775",www.uaf.edu
102632,University of Alaska Southeast,Richard A. Caulfield,Chancellor,"8,774,654,827",106500,"11066 Auke Lake Way, Juneau, AK 99801-8697",www.uas.alaska.edu
102669,Alaska Pacific University,Bob Onders,President,"9,075,611,266",106100,"4101 University Dr, Anchorage, AK 99508",www.alaskapacific.edu
102711,Alaska Vocational Technical Center,Cathy LeCompte,Director,"9,072,243,322",3160300,"PO Box 889, Seward, AK 99664-0889",www.avtec.edu/
102845,Charter College,Jill James,Chancellor,"3,604,482,000",2576900,"17200 S.E. Mill Plain Boulevard, Suite 100, Vancouver, WA 98683-7575",https://www.chartercollege.edu
103501,Alaska Career College,Jennifer A. Deitz,President,"9,075,637,575",2541000,"1415 E Tudor Road, Anchorage, AK 99507-1033",www.alaskacareercollege.edu
103741,Empire Beauty School-Tucson,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",966403,"3030 E Speedway Blvd, Tucson, AZ 85716",www.empire.edu
103893,Carrington College-Phoenix North,Donna Loraine,President,"6,023,935,900",2100600,"8503 N. 27th Ave., Phoenix, AZ 85051-4063",https://carrington.edu/
103945,CollegeAmerica-Flagstaff,Tresban Rivera,Executive Director,"92,821,360,601,400",3120300,"399 Malpais, Flagstaff, AZ 86001",www.collegeamerica.edu
103954,Arizona Academy of Beauty-East,Carey White,Vice President/Owner,"5,208,854,120",886400,"5631 E Speedway Blvd, Tucson, AZ 85712",www.arizonaacademy.com
103963,Platt College-Arizona Automotive Institute Arizona,Mark Garland,Executive Director,"6,239,347,273",2306807,"6829 N 46th Ave, Glendale, AZ 85301-3579",www.aai.edu
104090,Brookline College-Phoenix,Glen Tharp,Campus Director,"6,022,426,265",2218800,"2445 W. Dunlap Ave., Ste. 100, Phoenix, AZ 85021",www.brooklinecollege.edu
104151,Arizona State University-Tempe,Michael M. Crow,President,"8,552,785,080",108100,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/
104160,Arizona Western College,Daniel Corr,President,"9,283,176,000",107100,"2020 S. Avenue 8E, Yuma, AZ 85365-8834",www.azwestern.edu
104179,University of Arizona,Dr. Robert C. Robbins,President,"5,206,212,211",108300,"1401 E University, Tucson, AZ 85721-0066",https://www.arizona.edu
104188,Southwest University of Visual Arts-Tucson,Julie Mairs,Chief Business Officer,"5,203,250,123",2491500,"2525 N Country Club Rd, Tucson, AZ 85716",www.suva.edu
104346,Central Arizona College,Jackie Elliott,President,"5,204,945,444",728300,"8470 N Overfield Rd, Coolidge, AZ 85128-9030",www.centralaz.edu
104391,Charles of Italy Beauty College,Charles Bartolomeo,Owner,"9,284,536,666",2280500,"1987 McCulloch Blvd, Suite 205, Lake Havasu City, AZ 86403",www.charlesofitaly.edu
104425,Cochise County Community College District,"J.D. Rottweiler, Ph.D.",President,"5,205,150,500",107200,"901 N Colombo Ave, Sierra Vista, AZ 85635-2317",https://www.cochise.edu
104434,Empire Beauty School-Flagstaff,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",1054207,"1790 E Rte 66, Flagstaff, AZ 86004",www.empire.edu
104443,Empire Beauty School-Chandler,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",1054208,"2978 N Alma School Rd #1-3, Chandler, AZ 85224",www.empire.edu
104568,Avalon School of Cosmetology-Mesa,Clint Tryon,CFO,"4,808,971,688",1085800,"2111 S Alma School Rd Ste 21, Mesa, AZ 85210",avalon.edu/locations/mesa-az/
104577,Eastern Arizona College,Todd Haynie,President,"9,284,288,272",107300,"615 N. Stadium Ave., Thatcher, AZ 85552-0769",www.eac.edu
104586,Embry-Riddle Aeronautical University-Prescott,"P. Barry Butler, Ph.D.",President,"9,287,776,600",147902,"3700 Willow Creek Road, Prescott, AZ 86301-3720",prescott.erau.edu/
104665,School of Architecture at Taliesin,Aaron A. Betsky,President,"4,806,275,345",2533200,"12621 N. Frank Lloyd Wright Blvd, Scottsdale, AZ 85259",www.taliesin.edu
104708,Glendale Community College,"Teresa Leyba-Ruiz, Ed.D.",President,"6,238,453,000",107600,"6000 W Olive Ave, Glendale, AZ 85302",www.gccaz.edu
104717,Grand Canyon University,Brian Mueller,Chief Executive Officer,"8,008,009,776",107400,"3300 W Camelback Rd, Phoenix, AZ 85017",www.gcu.edu
105145,GateWay Community College,Dr. Steven R. Gonzales,President,"6,023,925,000",830300,"108 N. 40th Street, Phoenix, AZ 85034",www.gatewaycc.edu
105154,Mesa Community College,Dr. Richard J. Haney,President,"4,804,617,000",107700,"1833 W Southern Ave, Mesa, AZ 85202",www.mesacc.edu
105206,Mohave Community College,Stacy Klippenstein,President,"9,287,574,331",1186400,"1971 Jagerson Ave, Kingman, AZ 86409-1238",https://www.mohave.edu
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Roger Speer,Campus President,"8,772,012,666",2100500,"2844 W Deer Valley Rd, Phoenix, AZ 85027",www.uti.edu/
105297,Dine College,Charles Monty Roessel,President,"9,287,246,600",824600,"Route 12, One Circle Drive, Tsaile, AZ 86556",https://www.dinecollege.edu
105330,Northern Arizona University,"Rita Hartung Cheng, Ph.D.",President,"9,285,239,011",108200,"1900 S Knoles Dr, Babbitt Administrative Center, Room 200, Flagstaff, AZ 86011-4092",https://nau.edu/
105349,Northland Pioneer College,Mark vest,President,"8,002,667,845",1186200,"2251 E. Navajo Blvd., Holbrook, AZ 86025-0610",www.npc.edu
105367,Ottawa University-Phoenix,Leslie Sherlin,Associate Dean,"6,023,711,188",193701,"9414 North 25th Avenue, Phoenix, AZ 85021",www.ottawa.edu
105428,Phoenix College,"Dr. Larry Johnson, Jr.",President,"6,022,642,492",107800,"1202 W Thomas Rd, Phoenix, AZ 85013",www.phoenixcollege.edu
105525,Pima Community College,Lee D. Lambert,Chancellor,"5,202,064,500",726600,"4905C East  Broadway Blvd., Tucson, AZ 85709-1275",www.pima.edu
105534,Pima Medical Institute-Tucson,Dale Berg,Campus Director,"5,203,261,600",2217100,"2121 N Craycroft Road, Bldg 1, Tucson, AZ 85712",pmi.edu
105543,Pima Medical Institute-Albuquerque,Yuriana Lancaster,Campus Director,"5,058,811,234",2217103,"4400 Cutler Avenue NE, Albuquerque, NM 87110",pmi.edu
105589,Prescott College,John Flicker,President,"8,773,502,100",2065300,"220 Grove Ave, Prescott, AZ 86301",https://www.prescott.edu
105659,Refrigeration School Inc,David Eaker,Campus President,"6,022,757,133",1168900,"4210 E Washington Street, Phoenix, AZ 85034-1816",https://www.refrigerationschool.com
105668,Rio Salado College,"Kate Smith, M.S.",Interim President,"4,805,178,000",2177500,"2323 W 14th St, Tempe, AZ 85281",www.rio.maricopa.edu
105677,Roberto-Venn School of Luthiery,William Eaton,Director,"6,022,431,179",2113800,"1012 NW Grand Ave, Phoenix, AZ 85007",www.roberto-venn.com
105747,Scottsdale Community College,"Chris Haines, M.Ed.",Interim President,"4,804,236,000",830400,"9000 E Chaparral Rd, Scottsdale, AZ 85256",www.scottsdalecc.edu
105792,South Mountain Community College,Dr. Shari L. Olson,President,"6,022,438,135",2146600,"7050 S 24th St, Phoenix, AZ 85042",www.southmountaincc.edu
105899,Arizona Christian University,Len Munsil,President,"6,024,895,300",711300,"1 W. Firestorm Way, Glendale, AZ 85306-3216",www.arizonachristian.edu
106041,Universal Technical Institute of Arizona Inc,Adrian Cordova,Campus President,"8,005,105,845",822100,"10695 West Pierce Street, Avondale, AZ 85323",www.uti.edu
106111,Empire Beauty School-NW Phoenix,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",945915,"2727 W. Glendale Ave. #200, Phoenix, AZ 85051",www.empire.edu
106148,Yavapai College,Dr. Lisa Rhine,President,"9,284,457,300",107900,"1100 E Sheldon St, Prescott, AZ 86301",www.YC.EDU
106245,University of Arkansas at Little Rock,Dr. Christina Drale,Chancellor,"5,015,693,000",110100,"2801 S University Ave, Little Rock, AR 72204",ualr.edu/www/
106263,University of Arkansas for Medical Sciences,"Cam Patterson, M.D., MBA",Chancellor,"5,012,961,275",110900,"4301 W Markham, Little Rock, AR 72205-7199",www.uams.edu
106306,Arkansas Baptist College,Ms. Regina Favors,Interim President,"5,014,201,200",108700,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, AR 72202-6068",www.arkansasbaptist.edu
106315,Arkansas Beauty School-Little Rock,Larry Robinson,CEO,"5,015,625,673",3005100,"8521 Geyer Springs Road Unit 30, Little Rock, AR 72209",arkbeautyschool.com
106324,Arkansas Beauty College,Barbara Ward,Owner & Instructor,"4,799,683,075",3997300,"109 N Commerce St, Russellville, AR 72801",https://www.arkansasbeautycollege.us/
106342,Lyon College,"W. Joeseph ""Joey"" King",President,"8,703,077,000",108800,"2300 Highland Road, Batesville, AR 72501",www.lyon.edu
106351,Arkansas College of Barbering and Hair Design,Gwendolyn Middleton,Campus President,"5,018,916,283",3023400,"200 E Washington Ave, North Little Rock, AR 72114",www.arkansascollegeofbarbering.com
106360,Arthur's Beauty College Inc-Fort Smith,Chris Strawn,Owner,"4,797,836,245",2363500,"2000 North B St, Fort Smith, AR 72901-3342",www.arthursbeautycollege.com
106397,University of Arkansas,Joseph E. Steinmetz,Chancellor,"4,795,752,000",110800,"Administration Bldg 425, Fayetteville, AR 72701",https://www.uark.edu
106412,University of Arkansas at Pine Bluff,Laurence B. Alexander,Chancellor,"8,705,758,000",108600,"1200 N University Mail Slot 4789, Pine Bluff, AR 71601",www.uapb.edu
106449,Arkansas State University-Beebe,Jennifer Methvin,Chancellor,"5,018,823,600",109100,"1000 Iowa Street, Beebe, AR 72012-1000",www.asub.edu
106458,Arkansas State University-Main Campus,Kelly R. Damphousse,Chancellor,"8,709,722,100",109000,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/
106467,Arkansas Tech University,Robin E Bowen,President,"8,448,042,628",108900,"Administration Bldg 200; 1509 N Boulder Ave, Russellville, AR 72801-2222",www.atu.edu
106485,University of Arkansas at Monticello,Dr. Peggy Doss,Chancellor,"8,703,676,811",108500,"Highway 425 South, Monticello, AR 71656",www.uamont.edu/
106494,Arthur's Beauty College Inc-Jacksonville,Chris Strawn,Owner,"5,019,828,987",2538500,"2600 John Harden Dr, Jacksonville, AR 72076",arthursbeautycollege.com
106546,Baptist Health College Little Rock,Judy Pile,Chancellor & Assistant Vice President of Education,"5,012,026,200",3105200,"11900 COLONEL GLENN RD STE 1000, Little Rock, AR 72210-2827",https://www.bhclr.edu
106625,Black River Technical College,Martin Eggensperger,President,"8,702,484,000",2052200,"1410 Hwy 304 East, Pocahontas, AR 72455",www.blackrivertech.edu
106704,University of Central Arkansas,Houston Davis,President,"5,014,505,000",109200,"201 Donaghey Ave, Conway, AR 72035-0001",www.uca.edu
106713,Central Baptist College,Terry Kimbrow,President,"5,013,296,872",109300,"1501 College Avenue, Conway, AR 72034",www.cbc.edu
106795,Cossatot Community College of the University of Arkansas,Dr. Steve Cole,Chancellor,"8,705,844,471",2220900,"183 College Drive, De Queen, AR 71832",www.cccua.edu/
106810,Crowley's Ridge College,Richard,President,"8,702,366,901",109500,"100 College Dr, Paragould, AR 72450",www.crc.edu/
106883,East Arkansas Community College,Dr. Cathie Cline,President,"8,706,334,480,200",1226000,"1700 Newcastle Rd, Forrest City, AR 72335-2204",https://WWW.EACC.EDU
106892,Eastern College of Health Vocations-Little Rock,Joseph P. Dalto III,Owner,"5,015,680,211",2272400,"200 South University Avenue, Little Rock, AR 72205",www.easterncollege.edu
106908,Imagine-Paul Mitchell Partner School,George Brunt,Owner,"5,018,011,833",3124900,"4201 E McCain Blvd, North Little Rock, AR 72117",paulmitchell.edu/littlerock
106980,National Park College,John Hogan,President,"5,017,604,222",1210500,"101 College Dr, Hot Springs, AR 71913",www.np.edu
106999,University of Arkansas Community College-Batesville,Deborah Frazier,Chancellor,"8,706,122,000",2073500,"2005 White Drive, Batesville, AR 72503-3350",www.uaccb.edu
107044,Harding University,Bruce D. McLarty,President,"5,012,794,000",109700,"915 E. Market Ave., Searcy, AR 72149-5615",www.harding.edu
107071,Henderson State University,Elaine Kneebone,Acting President,"8,702,305,000",109800,"1100 Henderson Street, Arkadelphia, AR 71999-0001",https://www.hsu.edu
107080,Hendrix College,Dr. William M. Tsutsui,President,"5,013,296,811",109900,"1600 Washington Ave, Conway, AR 72032-3080",www.hendrix.edu
107099,Hot Springs Beauty College,Wentz Akard,Chief Executive Officer,"5,016,244,258",3007100,"100 Cones Rd, Hot Springs, AR 71901",hotspringsbeautycollege.com
107123,Jefferson Regional Medical Center School of Nursing,Michelle Newton,Director,"8,705,417,858",2330800,"1600 West 40th Avenue, Pine Bluff, AR 71603",www.jrmc.org
107141,John Brown University,Dr Charles W. Pollard,President,"4,795,249,500",110000,"2000 W University St, Siloam Springs, AR 72761",www.jbu.edu
107220,Career Academy of Hair Design,Jim Butenschoen,Administrator,"4,796,338,110",2341700,"346 E. Robinson Ave, Springdale, AR 72764-7128",www.beautynwa.com
107293,Academy of Salon and Spa,Alan Anderson,Vice President,"4,797,825,059",1074100,"311 S 16th St, Fort Smith, AR 72901",www.academysalonspa.com
107318,Arkansas State University Mid-South,Dr. Debra West,Chancellor,"8,707,336,722",2348200,"2000 W.  Broadway, West Memphis, AR 72301-3829",www.asumidsouth.edu
107327,Arkansas Northeastern College,Dr. James Shemwell,President,"87,076,210,201,114",1286000,"2501 S Division, Blytheville, AR 72316-1109",www.anc.edu
107442,New Tyler Barber College Inc,Ricky Bryant,President,"5,013,750,377",2284200,"1221 E 7th St, North Little Rock, AR 72114-4973",newtylerbarbercollege.edu
107460,North Arkansas College,Randall Esters,President,"8,707,433,000",1226100,"1515 Pioneer Dr, Harrison, AR 72601-5508",www.northark.edu
107488,Northwest Technical Institute,Blake Robertson,President,"47,975,188,240",2073700,"709 S Old Missouri Rd, Springdale, AR 72764",www.nwti.edu
107512,Ouachita Baptist University,Ben R. Sells,President,"8,702,455,000",110200,"410 Ouachita St, Arkadelphia, AR 71998-0001",www.obu.edu
107521,Arkansas State University Three Rivers,Dr. Steve Rook,President,"50,133,750,001,100",997600,"One College Circle, Malvern, AR 72104-0816",www.coto.edu
107549,Ozarka College,Dr. Richard  L. Dawe,President,"8,703,687,371",2087000,"218 College Dr, Melbourne, AR 72556-0010",www.ozarka.edu
107558,University of the Ozarks,"Richard L. ""Rich"" Dunsworth",President,"4,799,791,000",109400,"415 N College Ave, Clarksville, AR 72830",https://www.ozarks.edu
107585,University of Arkansas Community College-Morrilton,Lisa Willenberg,Chancellor,"5,019,772,000",524500,"1537 University Blvd., Morrilton, AR 72110",www.uaccm.edu
107600,Philander Smith College,Dr. Roderick Smothers,President,"5,013,759,845",110300,"900 W. Daisy Bates Drive, Little Rock, AR 72202-3799",https://www.philander.edu
107619,Phillips Community College of the University of Arkansas,Dr. Keith Pinchback,Chancellor,"8,703,386,474",110400,"1000 Campus Drive, Helena, AR 72342-0785",www.pccua.edu
107637,Southeast Arkansas College,Mr. Steven Bloomberg,President,"8,705,435,900",570700,"1900 S Hazel Street, Pine Bluff, AR 71603",www.seark.edu
107655,Professional Cosmetology Education Center,Robert F. Kelley,CEO,"8,707,768,865",2202400,"460 North Washington, El Dorado, AR 71730-4009",www.pcec.edu
107664,University of Arkansas-Pulaski Technical College,Dr. Margaret Ellibee,Chancellor,"5,018,122,200",2075300,"3000 W Scenic Dr, North Little Rock, AR 72118-3347",uaptc.edu
107725,University of Arkansas Hope-Texarkana,"Chris Thomason, J.D.",Chancellor,"8,707,775,722",573200,"2500 S Main, Hope, AR 71801",www.uaht.edu
107743,University of Arkansas Community College Rich Mountain,Dr. Phillip Wilson,Chancellor,"4,793,947,622",2111100,"1100 College Dr, Mena, AR 71953",www.uarichmountain.edu
107789,Paul Mitchell the School-Arkansas,Greg Kellogg,Owner,"4,794,425,181",792100,"4156 N Steele Blvd, Fayetteville, AR 72703",https://paulmitchell.edu/arkansas/
107831,Searcy Beauty College,Kimberlee VanHook,Director,"5,012,686,300",2569600,"1004 S Main St, Searcy, AR 72143",searcybeautycollege.com/
107840,Shorter College,O. Jerome Green,President,"5,013,746,305,107",110500,"604 Locust St, N Little Rock, AR 72114",www.shortercollege.edu
107877,Williams Baptist University,Dr. Stan Norman,President,"8,708,866,741",110600,"60 W Fulbright Avenue, Walnut Ridge, AR 72476",https://williamsbaptistuniversity.com/
107974,South Arkansas Community College,Dr. Barbara R. Jones,President,"8,708,628,131",2074600,"300 S West Ave, El Dorado, AR 71731-7010",www.southark.edu
107983,Southern Arkansas University Main Campus,Trey Berry,President,"8,702,354,000",110700,"100 E. University, Magnolia, AR 71753",https://www.saumag.edu
107992,Southern Arkansas University Tech,Jason L. Morrison,Chancellor,"8,705,744,500",773800,"6415 Spellman Road, Camden, AR 71701-1906",www.sautech.edu
108065,Velvatex College of Beauty Culture,Barbara Douglas,Owner,"5,013,729,678",3214300,"1520 Martin Luther King Dr, Little Rock, AR 72202-5452",www.velvatexcollege.com
108092,University of Arkansas-Fort Smith,Terisa Riley,Chancellor,"4,797,887,000",111000,"5210 Grand Ave, Fort Smith, AR 72913-3649",uafs.edu/
108232,Academy of Art University,Elisa Stephens,President,"8,005,442,787",753100,"79 New Montgomery, San Francisco, CA 94105",www.academyart.edu
108269,Academy of Chinese Culture and Health Sciences,Andres Bella,Acting President,"51,076,377,870",3288300,"1600 Broadway, Ste. 200, Oakland, CA 94612",www.acchs.edu
108649,Avalon School of Cosmetology-Alameda,Clint Tryon,CFO,"5,105,231,050",2258600,"2318 Central Avenue, Alameda, CA 94501",avalon.edu/locations/alameda-ca/
108667,College of Alameda,Dr. Timothy Karas,President,"5,105,227,221",672000,"555 Ralph Appezzato Memorial Pky, Alameda, CA 94501",alameda.peralta.edu/
108807,Allan Hancock College,Dr. Kevin Walthers,Superintendent/President,"8,059,226,966",111100,"800 South College Drive, Santa Maria, CA 93454-6399",www.hancockcollege.edu/
108852,American Academy of Dramatic Arts-Los Angeles,Joel Bloch,CFO,"3,234,642,777,109",746501,"1336 North La Brea Avenue, Los Angeles, CA 90028",www.aada.edu
108861,American Baptist Seminary of the West,James Brenneman,President,"5,108,411,905,237",112000,"2606 Dwight Way, Berkeley, CA 94704-3029",www.absw.edu
108870,American Film Institute Conservatory,Bob Gazzale,President and CEO,"3,238,567,600",2222000,"2021 N Western Ave, Los Angeles, CA 90027-1625",www.AFI.com
108977,American Beauty College,Juana Roman,Chief Financial Officer,"6,264,727,402,305",1307400,"646 S. Sunset Ave, West Covina, CA 91790",www.americanbeautycollege.com
109040,American Career College-Los Angeles,David Pyle,Chief Executive Officer,"9,497,834,800",2241800,"4021 Rosewood Avenue, Los Angeles, CA 90004",americancareercollege.edu
109086,American Conservatory Theater,Pam MacKinnon,Artistic Director,"41,583,432,002,400",2099200,"30 Grant Ave, San Francisco, CA 94108-5834",www.act-sf.org
109208,American River College,Thomas Greene,President,"9,164,848,011",123200,"4700 College Oak Dr, Sacramento, CA 95841-4286",https://www.arc.losrios.edu/
109350,Antelope Valley College,Mr. Edward Knudson,President,"6,617,226,300",111300,"3041 West  Ave K, Lancaster, CA 93536-5426",www.avc.edu
109651,Art Center College of Design,Lorne Buchman,President,"6,263,962,200",111600,"1700 Lida St, Pasadena, CA 91103",www.artcenter.edu
