government_name,acronym
Maritime Administration,MARAD
Machine Assisted Realization Of The Virtual Electronic Library,MARVEL
Minority Business Development Agency,MBDA
Maternal And Child Health Bureau,MCHB
Militarily Critical Technologies List,MCTL
Medicare Payment Advisory Commission,MEDPAC
Medical Subject Headings,MESH
Multilateral Investment Guarantee Agency,MIGA
Minerals Management Service,MMS
Morbidity And Mortality Weekly Report,MMWR
Minority On-Line Information Service,MOLIS
Metropolitan Statistical Area,MSA
Materials Science And Engineering Library,MSEL
Mine Safety And Health Administration,MSHA
Merit Systems Protection Board,MSPB
National Counterintelligence Center,NACIC
North American Free Trade Agreement,NAFTA
North American Industry Classification System,NAICS
National Agricultural Library,NAL
National Archives And Records Administration,NARA
National Association Of Retired Federal Employees,NARFE
National Aeronautics And Space Administration,NASA
National Air And Space Museum,NASM
National Agricultural Statistics Service,NASS
North Atlantic Treaty Organisation,NATO
National Bioethics Advisory Commission,NBAC
National Biological Information Infrastructure,NBII
New Brunswick Laboratory,NBL
National Cemetery Administration,NCA
National Center For Biotechnology Information,NCBI
National Coordinating Center For Telecommunications,NCC
National Center For Complementary And Alternative Medicine,NCCAM
National Center For Chronic Disease Prevention And Health Promotion,NCCDPHP
National Child Care Information Center,NCCIC
National Council On Disability,NCD
National Climatic Data Center,NCDC
National Center For Environmental Health,NCEH
National Center For Education Statistics,NCES
National Center For Health Statistics,NCHS
National Center For HIV,NCHSTP
National Cancer Institute,NCI
National Center For Infectious Diseases,NCID
National Center For Injury Prevention And Control,NCIPC
Naval Criminal Investigative Service,NCIS
National Criminal Justice Reference Service,NCJRS
National Commission On Libraries And Information Science,NCLIS
National Capital Planning Commission,NCPC
National Center For Research Resources,NCRR
National Communications System,NCS
National Center For Toxicological Research,NCTR
National Credit Union Administration,NCUA
National Committee On Vital And Health Statistics,NCVHS
National Drug Intelligence Center,NDIC
National Defense University,NDU
National Endowment For The Arts,NEA
National Economic Council,NEC
National Education Goals Panel,NEGP
National Endowment For The Humanities,NEH
National Eye Institute,NEI
National Earthquake Information Center,NEIC
National Energy Research Scientific Computing Center,NERSC
National Environmental Satellite,NESDIS
National Energy Technology Laboratory,NETL
National Fire Academy,NFA
National Gallery Of Art; National Geospatial-Intelligence Agency,NGA
National Geophysical Data Center,NGDC
National Geospatial Intelligence School,NGS
National Human Genome Research Institute,NHGRI
National Highway Institute,NHI
National Health Information Center,NHIC
National Heart,NHLBI
National Historical Publications And Records Commission,NHPRC
National Highway Traffic Safety Administration,NHTSA
National Institute On Aging,NIA
National Institute On Alcohol Abuse And Alcoholism,NIAAA
National Institute Of Allergy And Infectious Diseases,NIAID
National Institute Of Arthritis And Musculoskeletal And Skin Diseases,NIAMS
National Institute Of Corrections,NIC
National Institute Of Child Health And Human Development,NICHD
National Institute On Drug Abuse,NIDA
National Institute On Deafness And Other Communication Disorders,NIDCD
National Institute Of Dental And Craniofacial Research,NIDCR
National Institute Of Diabetes And Digestive And Kidney Disease,NIDDK
National Institute On Disability And Rehabilitation Research,NIDRR
National Institute Of Environmental Health Sciences,NIEHS
National Interagency Fire Center,NIFC
National Institute For Literacy,NIFL
National Indian Gaming Commission,NIGC
National Institute Of General Medical Sciences,NIGMS
National Institutes Of Health,NIH
National Institute Of Justice,NIJ
National Imagery And Mapping Agency,NIMA
National Institute Of Mental Health,NIMH
National Institute Of Neurological Disorders And Stroke,NINDS
National Institute Of Nursing Research,NINR
National Institute For Occupational Safety And Health,NIOSH
National Income And Product Accounts,NIPA
National Infrastructure Protection Center,NIPC
National Institute Of Standards And Technology,NIST
National Institute Of Standards And Technology Interagency Report,NISTIR
National Library Of Education,NLE
National Library Of Medicine,NLM
National Labor Relations Board,NLRB
National Mediation Board,NMB
National Marine Fisheries Service,NMFS
National Nuclear Security Administration,NNSA
National Oceanic And Atmospheric Administration,NOAA
National Oceanographic Data Center,NODC
National Ocean Service,NOS
National Program Of Cancer Registries,NPCR
National Polar-orbiting Operational Environmental Satellite System,NPOESS
National Partnership For Reinventing Government,NPR
National Park Service,NPS
National Petroleum Technology Office,NPTO
National Register Of Historic Places,NR
Nuclear Regulatory Commission,NRC
Natural Resources Conservation Service,NRCS
National Rural Development Partnership,NRDP
National Research And Education Network,NREN
National Respiratory And Enteric Virus Surveillance System,NREVSS
Naval Research Laboratory,NRL
National Reconnaissance Office,NRO
National Railroad Passenger Corporation,NRPC
National Security Agency,NSA
National Security Council,NSC
National Science Foundation,NSF
National Science And Technology Center,NSTC
National Space Technology Laboratories,NSTL
National Telecommunications And Information Administration,NTIA
National Technical Information Service,NTIS
National Toxicology Program,NTP
National Transportation Safety Board,NTSB
National Vital Statistics System,NVSS
National War College,NWC
National Wildfire Coordinating Group,NWCG
National Weather Service,NWS
Nuclear Waste Technical Review Board,NWTRB
Office Of Administration,OA
Office Of Antiboycott Compliance,OAC
Office Of Animal Care And Use,OACU
Office Of American Indian Trust,OAIT
Office Of Administrative Law Judges,OALJ
Office Of AIDS Research; Office Of Oceanic And Atmospheric Research,OAR
Organization Of American States,OAS
Old-Age And Survivors Insurance And Disability Insurance,OASDI
Office For The Advancement Of Telehealth,OAT
Office Of Business Liaison,OBL
Comptroller Of The Currency,OCC
Office Of Community Development,OCD
Office Of The Chief Economist,OCE
Office For Civil Rights,OCR
Office Of Civilian Radioactive Waste Management,OCRWM
Office Of Community Services,OCS
Office Of Child Support Enforcement,OCSE
Office Of Disability Employment Policy,ODEP
Office Of Disease Prevention,ODP
Office Of Enforcement And Compliance Assurance,OECA
Organization For Economic Cooperation And Development,OECD
Office Of Electronic Government And Technology,OEGT
Office Of English Language Acquisition,OELA
Office Of Educational Research And Improvement,OERI
Bureau Of Oceans And International Environmental And Scientific Affairs,OES
Office Of Elementary And Secondary Education,OESE
Office Of Family Assistance,OFA
Office Of Foreign Assets Control,OFAC
Office Of Federal Contract Compliance Programs,OFCCP
Office Of Federal Housing Enterprise Oversight,OFHEO
Office Of Financial Management,OFM
Office Of The Federal Register,OFR
Office Of Government Ethics,OGE
Office Of Governmentwide Policy,OGP
Office Of Ground Water And Drinking Water,OGWDW
Office Of Health And Safety Information System,OHASIS
Office For Human Research Protections,OHRP
Office Of The Inspector General,OIG
Office Of Intergovernmental And Interagency Affairs,OIIA
Office Of Juvenile Justice And Delinquency Prevention,OJJDP
Office Of Justice Programs,OJP
Office Of Laboratory Animal Welfare,OLAW
Office Of Labor Management Standards,OLMS
Office Of Marine And Aviation Operations,OMAO
Office Of Medical Applications Of Research,OMAR
Office Of Management And Budget,OMB
Office Of Minority Health,OMH
Office Of Multifamily Housing Assistance Restructuring,OMHAR
Offshore Minerals Management Program,OMM
Office Of National Drug Control Policy,ONDCP
Office Of Naval Research,ONR
Office Of Population Affairs,OPA
Office Of Postsecondary Education,OPE
Organization Of Petroleum Exporting Countries,OPEC
Office Of Public Health And Science,OPHS
Overseas Private Investment Corporation,OPIC
Office Of Personnel Management,OPM
Office Of Prevention,OPPTS
Office Of Research And Applications,ORA
Office Of Risk Assessment And Cost-Benefit Analysis,ORACBA
Office Of Rare Diseases,ORD
Office Of Rural Health Policy,ORHP
Office Of Research Integrity,ORI
Office Of Research On Minority Health,ORMH
Oak Ridge National Laboratory,ORNL
Office Of Refugee Resettlement,ORR
Office Of Research On Women's Health,ORWH
Overseas Security Advisory Council,OSAC
Office Of Small Business Programs,OSBP
Office Of Special Counsel,OSC
Office Of Child Support Enforcement,OSCE
Office Of Small And Disadvantaged Business Utilization,OSDBU
Office Of Special Education And Rehabilitative Services,OSERS
Office Of Space Flight,OSF
Occupational Safety And Health Administration,OSHA
Occupational Safety And Health Review Commission,OSHRC
Office Of Surface Mining; Office Of Spectrum Management,OSM
Office Of Science And Technology; Office Of The Secretary Of Transportation,OST
Office Of Scientific And Technical Information,OSTI
Office Of Science And Technology Policy,OSTP
Office Of Solid Waste And Emergency Response,OSWER
Office Of Technology Assessment,OTA
Office Of Tribal Justice,OTJ
Office Of Thrift Supervision,OTS
Office Of Transportation Technologies,OTT
Office Of Vocational And Adult Education,OVAE
Office For Victims Of Crime,OVC
Office Of Women's Business Ownership,OWBO
Office Of Workers' Compensation Programs,OWCP
Office On Women's Health,OWH
Pan American Health Organization,PAHO
Office Of Acquisition And Property Management,PAM
Pension Benefit Guaranty Corporation,PBGC
Public Buildings Service,PBS
Peace Corps,PC
President's Council On Bioethics,PCBE
Panama Canal Commission,PCC
President's Council On Integrity And Effiency,PCIE
President's Foreign Intelligence Advisory Board,PFIAB
Public Housing Agency,PHA
Center For Population,PHN
Public Health Practice Program Office,PHPPO
Public Health Prevention Service,PHPS
Public Health Service,PHS
Public Health Training Network,PHTN
Office Of Public And Indian Housing,PIH
National Institute On Postsecondary Education,PLLI
Pacific Northwest National Laboratory,PNNL
Prisoner Of War/Missing Personnel,POW/MP
Plant Protection And Quarantine,PPQ
Postal Rate Commission,PRC
Bureau Of Population,PRM
Program Support Center,PSC
Patent And Trademark Office,PTO
Public Use Microdata Samples,PUMS
Pension And Welfare Benefits Administration,PWBA
Reserve Affairs,RA
Rural Business-Cooperative Service,RBS
Rural Development,RD
Rural Economic & Community Development,RECD
Research,REE
Regional Economic Information System,REIS
Rural Housing Service,RHS
Rural Information Center Health Service,RICHS
Risk Management Agency,RMA
Reserve Officer Training Corps,ROTC
Railroad Retirement Board,RRB
Rehabilitation Services Administration,RSA
Research And Special Programs Administration,RSPA
Rural Utilities Service,RUS
Substance Abuse And Mental Health Services Administration,SAMHSA
Systematic Alien Verification For Entitlement,SAVE
Small Business Administration,SBA
Safe And Drug-Free Schools,SDFS
Safe Drinking Water Information System,SDWIS
Securities And Exchange Commission; Space Environment Center,SEC
Socioeconomic Data And Applications Center,SEDAC
Surveillance,SEER
Smithsonian Environmental Research Center,SERC
Servicemembers' Group Life Insurance,SGLI
Smithsonian Institute,SI
Standard Industrial Classification,SIC
Office Of Strategic Industries & Economic Security,SIES
Smithsonian Institution Traveling Exhibition Service,SITES
State Justice Institute,SJI
Stanford Linear Accelerator Center,SLAC
Saint Lawrence Seaway Development Corporation,SLSDC
Sandia National Laboratories,SNL
Savannah River Site,SRS
Secret Service,SS
Social Security Administration,SSA
Supplemental Security Income Program,SSI
Selective Service System,SSS
Strategic Arms Reduction Talks,START
United States Statutes At Large,STAT.
Surface Transportation Board,STB
Scientific And Technical Information,STI
Superintendent Of Documents,SUDOC
Technology Administration,TA
Trade Adjustment Assistance,TAA
Temporary Assistance For Needy Families,TANF
Transportation Administrative Service Center,TASC
Trade And Development Agency,TDA
Treasury Executive Office For Asset Forfeiture,TEOAF
Treasury Forfeiture Fund,TFF
Office Of Terrorism And Financial Intelligence,TFI
Trade Information Center,TIC
Toxics Release Inventory,TRI
Transportation Security Administration,TSA
Transportation Safety Institute,TSI
TRICARE Support Office,TSO
Thrift Savings Plan,TSP
Tennessee Valley Authority,TVA
United Nations,U.N.
United States Code,U.S.C.
United Nations Educational,UNESCO
United Nations Children's Fund,UNICEF
Federal Prison Industries,UNICOR
Universal Postal Union,UPU
United States Army,USA
U.S. Army Corps Of Engineers,USACE
United States Air Force,USAF
United States Air Force Academy,USAFA
United States Agency For International Development,USAID
Bureau Of Reclamation,USBR
United States Commission On Civil Rights,USCCR
United States Coast Guard,USCG
United States Commission On International Religious Freedom,USCIRF
U.S. Citizenship And Immigration Services,USCIS
United States Customs Service,USCS
United States Department Of Agriculture,USDA
United States Employment Service,USES
U.S. Fire Administration,USFA
United States Geological Survey,USGS
United States Information Agency,USIA
United States Institute Of Peace,USIP
United States International Trade Commission,USITC
United States Marine Corps,USMC
United States Marshals Service,USMS
United States Navy,USN
United States National Central Bureau Of INTERPOL,USNCB
United States Postal Service �,USPS
United States Patent And Trademark Office,USPTO
United States Sentencing Commission,USSC
United States Secret Service,USSS
United States Trade Representative,USTR
Department Of Veterans Affairs,VA
Violence Against Women Office,VAWO
Veterans Benefits Administration,VBA
Veterans' Employment And Training Service,VETS
Veterans' Group Life Insurance,VGLI
Veterans Health Administration,VHA
Volunteers In Service To America,VISTA
Voice Of America,VOA
Western Area Power Administration,WAPA
Women's Bureau,WB
Waterways Experiment Station,WES
Wage And Hour Division,WH
White House Military Office,WHMO
World Health Organization,WHO
Women,WIC
Web-based Injury Statistics Query And Reporting System,WISQARS
Women's Network For Entrepreneurial Training,WNET
White Sands Missile Range,WSMR
World Trade Organization,WTO
