sector_group,terms,w_regex
business,sab,(?i)S\\.A\\.B\\.
business,sagl,(?i)SAGL
business,sal,(?i)S\\.A\\.L\\.
business,sam,(?i)S\\.A\\.M\\.
business,sap,(?i)S\\.A\\.P\\.
business,sarl,(?i)SARL
business,sas,(?i)S\\.A\\.S\\.
business,sas,(?i)S\\.A\\.S
business,sas,(?i)SAS
business,sat,(?i)S\\.A\\.T\\.
business,sat,(?i)SAT
business,sb,(?i)SB
business,sc,(?i)S\\.C\\.
business,sc,(?i)S\\.C
business,sc,(?i)SC
business,sca,(?i)S\\.C\\.A\\.
business,sca,(?i)S\\.C\\.A
business,sca,(?i)SCA
business,sce,(?i)S\\.C\\.E\\.
business,sce,(?i)SCE
business,sci,(?i)SCI
business,scp,(?i)S\\.C\\.P\\.
business,scrl,(?i)S\\.C\\.R\\.L\\.
business,scrl,(?i)SCRL
business,scs,(?i)S\\.C\\.S\\.
business,scs,(?i)SCS
business,sd,(?i)SD
business,sdc,(?i)SDC
business,se,(?i)S\\.E\\.
business,se,(?i)SE
business,sec,(?i)S\\.E\\.C\\.
business,senc,(?i)S\\.E\\.N\\.C\\.
business,sf,(?i)S\\.F\\.
business,sf,(?i)SF
business,sgr,(?i)S\\.G\\.R\\.
business,sha,(?i)SHA
business,si,(?i)SI
business,sia,(?i)SIA
business,sic,(?i)S\\.I\\.C\\.
business,sic,(?i)SIC
business,sii,(?i)S\\.I\\.I\\.
business,sj,(?i)s\\.j\\.
business,ska,(?i)S\\.K\\.A\\.
business,sl,(?i)S\\.L\\.
business,sll,(?i)S\\.L\\.L\\.
business,slne,(?i)S\\.L\\.N\\.E\\.
business,slp,(?i)S\\.L\\.P\\.
business,smc,(?i)SMC
business,snc,(?i)S\\.N\\.C\\.
business,snc,(?i)SNC
business,societe,(?i)SOCIETE
business,son,(?i)SON
business,sp,(?i)s\\.p\\.
business,sp,(?i)SP
business,spa,(?i)S\\.P\\.A\\.
business,spa,(?i)SPA
business,spc,(?i)SPC
business,spj,(?i)Sp\\.j\\.
business,spk,(?i)sp\\.k\\.
business,spr,(?i)SPR
business,sprl,(?i)SPRL
business,sr,(?i)sr
business,src,(?i)S\\.R\\.C\\.
business,srl,(?i)S\\.R\\.L\\.
business,srl,(?i)S\\.R\\.L
business,srl,(?i)SRL
business,srls,(?i)S\\.R\\.L\\.S\\.
business,ss,(?i)S\\.S\\.
business,ss,(?i)SS
business,start up,(?i)start up
business,startup,(?i)startup
business,ste,(?i)STE
business,stg,(?i)stG
business,teo,(?i)teo
business,tp,(?i)t\\.p\\.
business,tp,(?i)TP
business,tr,(?i)TR
business,tsf,(?i)TSF
business,tu,(?i)TU
business,tub,(?i)TUB
business,tuw,(?i)TUW
business,uab,(?i)UAB
business,ulc,(?i)U\\.L\\.C\\.
business,ulc,(?i)ULC
business,ultd,(?i)Ultd
business,unlimited,(?i)Unlimited
business,unltd,(?i)Unltd
business,unp,(?i)UNP
business,vba,(?i)V\\.B\\.A\\.
business,vi,(?i)VI
business,vof,(?i)VOF
business,vs,(?i)VS
business,vzw,(?i)VZW
business,zoo,(?i)z\\.o\\.o\\.
business,zub,(?i)ZUB
government,assembly,assembly
government,city of,city of
government,county of,county of
government,court,court
government,courts,courts
government,gobierno,gobierno
government,government,government
government,governments,governments
government,parliament,parliament
government,state of,state of
household,consultant,(?i)consultant
household,freelance,(?i)freelance
household,freelancer,(?i)freelancer
household,freelancing,(?i)freelancing
household,home,(?i)home
household,house,(?i)house
household,household,(?i)household
household,independent,(?i)independent
household,independent consultant,(?i)independent consultant
household,independent contractor,(?i)independent contractor
household,independent developer,(?i)independent developer
household,individual,(?i)individual
household,jobless,(?i)jobless
household,looking for a job,(?i)looking for a job
household,looking for job,(?i)looking for job
household,me,(?i)me
household,me myself,(?i)me myself
household,"me, myself","(?i)me, myself"
household,my home,(?i)my home
household,my house,(?i)my house
household,myself,(?i)myself
household,personal,(?i)personal
household,private,(?i)private
household,seeking,(?i)seeking
household,seeking employment,(?i)seeking employment
household,seeking internship,(?i)seeking internship
household,seeking opportunities,(?i)seeking opportunities
household,seeking work,(?i)seeking work
household,self,(?i)self
household,self employed,(?i)self employed
