business,legalformLabel,legalidLabel,dunsLabel,inceptionLabel
http://www.wikidata.org/entity/Q8093,kabushiki gaisha,,,1889-09-23T00:00:00Z
http://www.wikidata.org/entity/Q8766,public limited company,375X9PSJLLOV7F21O626,,1974-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8774,sociedad anónima,,,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9325,Aktiengesellschaft,529900PH63HYJ86ASW55,,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9325,Aktiengesellschaft,529900PH63HYJ86ASW55,,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9396,Aktiengesellschaft,549300V9QSIG4WX4GJ96,,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q9401,Societas Europaea,529900PM64WH8AF1E917,,1865-04-06T00:00:00Z
http://www.wikidata.org/entity/Q9584,kabushiki gaisha,,,1948-09-24T00:00:00Z
http://www.wikidata.org/entity/Q11407,U.S. corporation,549300BUDHS3LRWBE814,,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11463,public company,FU4LY2G4933NH2E1CP29,,1982-02-28T00:00:00Z
http://www.wikidata.org/entity/Q13683,public company,549300HIIRNTNKXV3M12,,2007-04-04T00:00:00Z
http://www.wikidata.org/entity/Q14647,U.S. corporation,,,1982-02-24T00:00:00Z
http://www.wikidata.org/entity/Q14772,joint-stock company,254900AL64IANZYI1E02,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14799,public company,,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15805,public company,,,1863-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18224,aktieselskab,549300D2K6PKKKXVNN73,,1904-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19593,,,,1887-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19900,public company,1Z4GXXU7ZHVWFCD8TV52,,1977-06-14T00:00:00Z
http://www.wikidata.org/entity/Q20165,kabushiki gaisha,,,1933-12-26T00:00:00Z
http://www.wikidata.org/entity/Q20718,joint-stock company,9884007ER46L6N7EI764,,1969-01-13T00:00:00Z
http://www.wikidata.org/entity/Q21077,subsidiary,,,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23317,Aktiengesellschaft,,,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25775,public company,2JE75BUE3T1BLCYYGK54,,1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25796,,,,1856-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25996,,,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26049,public company,549300QKBENKLBXQ8968,,1853-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26298,Joint stock company,,,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26299,public company,,,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26311,,549300N0B7DOGLXWPP39,,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26463,central enterprise,5493002ERZU2K9PZDL40,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26678,Aktiengesellschaft,YEH5ZCD6E441RHVHD759,,1916-03-07T00:00:00Z
http://www.wikidata.org/entity/Q26694,Oy,,,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26989,public company,,,1981-07-02T00:00:00Z
http://www.wikidata.org/entity/Q27065,joint-stock company,,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27074,privately held company,,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27074,public limited company,,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27074,private company limited by shares,,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27511,public company,,,1907-03-01T00:00:00Z
http://www.wikidata.org/entity/Q27511,kabushiki gaisha,,,1907-03-01T00:00:00Z
http://www.wikidata.org/entity/Q27530,Aktiengesellschaft,529900R27DL06UVNT076,,1998-11-17T00:00:00Z
http://www.wikidata.org/entity/Q27597,società per azioni,54930007BBNT0XZVEU52,,1899-07-11T00:00:00Z
http://www.wikidata.org/entity/Q27893,joint-stock company,,,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28255,joint-stock company,,,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29366,public enterprise,,,1862-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29739,joint-stock company,WNDD3CRVXJGC8I7GX671,,1902-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30378,open joint-stock company,,,1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30850,kabushiki gaisha,,,1921-06-13T00:00:00Z
http://www.wikidata.org/entity/Q30873,public company,3E70L4WYANTIWWIPHC81,,1984-02-01T00:00:00Z
http://www.wikidata.org/entity/Q32141,public company,EQNZNT235RBOJ6LJQZ02,,1946-09-24T00:00:00Z
http://www.wikidata.org/entity/Q32245,joint-stock company,549300ZG62N2599PWR15,,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q32396,limited company,IWUQB36BXD6OWD6X4T14,,1926-04-15T00:00:00Z
http://www.wikidata.org/entity/Q32491,public company limited by shares,,,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q35339,public company,,,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q35476,joint-stock company,549300Z40J86GGSTL398,,1983-10-05T00:00:00Z
http://www.wikidata.org/entity/Q35476,public company,549300Z40J86GGSTL398,,1983-10-05T00:00:00Z
http://www.wikidata.org/entity/Q35953,Societas Europaea,52990018UPG26YRFSM46,,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q35996,kabushiki gaisha,,,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q36033,public company,,,1970-04-22T00:00:00Z
http://www.wikidata.org/entity/Q36033,kabushiki gaisha,,,1970-04-22T00:00:00Z
http://www.wikidata.org/entity/Q37156,joint-stock company,VGRQXHF3J8VDLUA7XE92,,1911-06-16T00:00:00Z
http://www.wikidata.org/entity/Q37156,public company,VGRQXHF3J8VDLUA7XE92,,1911-06-16T00:00:00Z
http://www.wikidata.org/entity/Q37158,public company,OQSJ1DU9TAOC51A47K68,,1971-03-30T00:00:00Z
http://www.wikidata.org/entity/Q38076,Delaware corporation,UE2136O97NLB5BYP9H04,,1940-05-15T00:00:00Z
http://www.wikidata.org/entity/Q38676,joint-stock company,,,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q38928,joint-stock company,CFGNEKW0P8842LEUIA51,,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q38960,,,,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39146,,,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q39586,julkinen osakeyhtiö,,,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40650,corporation,,,1880-01-01T00:00:00Z
http://www.wikidata.org/entity/Q41187,kabushiki gaisha,,,1946-05-07T00:00:00Z
http://www.wikidata.org/entity/Q41187,kabushiki gaisha,,,2020-04-01T00:00:00Z
http://www.wikidata.org/entity/Q44294,Delaware corporation,20S05OYHG0MQM4VUIC57,,1903-06-16T00:00:00Z
http://www.wikidata.org/entity/Q44504,Société par actions simplifiée,,,1985-06-12T00:00:00Z
http://www.wikidata.org/entity/Q44868,,,,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q45557,public company,,,1882-01-01T00:00:00Z
http://www.wikidata.org/entity/Q193412,public company,WDJNR2L6D8RWOEB8T652,,1930-12-06T00:00:00Z
http://www.wikidata.org/entity/Q194360,U.S. corporation,R4PP93JZOLY261QX3811,,1850-01-01T00:00:00Z
http://www.wikidata.org/entity/Q196259,public company,,,1997-06-01T00:00:00Z
http://www.wikidata.org/entity/Q196808,joint-stock company,,,1970-01-01T00:00:00Z
http://www.wikidata.org/entity/Q197802,Aktiengesellschaft,,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q197914,joint-stock company,,,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q200687,,,,1875-01-01T00:00:00Z
http://www.wikidata.org/entity/Q201691,Aktiengesellschaft,L47NHHI0Z9X22DV46U41,,1882-01-01T00:00:00Z
http://www.wikidata.org/entity/Q201821,julkinen osakeyhtiö,,,1923-09-12T00:00:00Z
http://www.wikidata.org/entity/Q201850,,,,1887-01-01T00:00:00Z
http://www.wikidata.org/entity/Q202210,public company,,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q202841,,,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q202972,joint-stock company,824LMFJDH41EY779Q875,,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q203552,joint-stock company,,,1927-01-01T00:00:00Z
http://www.wikidata.org/entity/Q204284,kabushiki gaisha,5493006HTHC5ZN0POY11,,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q204296,,,,1940-01-01T00:00:00Z
http://www.wikidata.org/entity/Q204727,joint-stock company,M1YXUUZR0EIMU8T0EM75,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q205012,open joint-stock company,,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q205378,,YYQWUR1Z2BCX32HQS333,,1873-01-01T00:00:00Z
http://www.wikidata.org/entity/Q206678,joint-stock company,,,1949-10-23T00:00:00Z
http://www.wikidata.org/entity/Q206921,public company,765LHXWGK1KXCLTFYQ30,001326495,1849-01-01T00:00:00Z
http://www.wikidata.org/entity/Q206921,Delaware corporation,765LHXWGK1KXCLTFYQ30,001326495,1849-01-01T00:00:00Z
http://www.wikidata.org/entity/Q207770,società per azioni,815600A0C9AFC1F2A709,,1872-01-01T00:00:00Z
http://www.wikidata.org/entity/Q207784,kabushiki gaisha,,,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q207983,joint-stock company,NONUZEX43GHIPSVDD938,,1901-01-01T00:00:00Z
http://www.wikidata.org/entity/Q210047,S.A.,5493000J801JZRCMFE49,,1953-10-03T00:00:00Z
http://www.wikidata.org/entity/Q210780,,,,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q211165,joint-stock company,,,1988-02-17T00:00:00Z
http://www.wikidata.org/entity/Q211237,joint-stock company,,,1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q211906,aktieselskab,,,1964-12-03T00:00:00Z
http://www.wikidata.org/entity/Q211951,public limited company,,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212116,public company,,,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212116,kabushiki gaisha,,,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212235,public company,ODVCVCQG2BP6VHV36M30,,1919-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212322,public limited company,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212405,public company,2572IBTT8CCZW6AU4141,,1837-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212599,société anonyme,969500QZC2Q0TK11NV07,,1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212646,Aktiengesellschaft,,,1896-01-01T00:00:00Z
http://www.wikidata.org/entity/Q212900,public company,549300FDK6ZP3YIHRJ47,,1850-01-01T00:00:00Z
http://www.wikidata.org/entity/Q213140,joint-stock company,,,1925-01-01T00:00:00Z
http://www.wikidata.org/entity/Q213660,,,,2002-12-28T00:00:00Z
http://www.wikidata.org/entity/Q214346,joint-stock company,X0ST5BPF0CZG9FE5OV61,,2005-12-31T00:00:00Z
http://www.wikidata.org/entity/Q214763,joint-stock company,WPTL2Z3FIYTHSP5V2253,,2002-08-30T00:00:00Z
http://www.wikidata.org/entity/Q215392,joint-stock company,,,1993-01-22T00:00:00Z
http://www.wikidata.org/entity/Q215657,joint-stock company,,,1934-01-01T00:00:00Z
http://www.wikidata.org/entity/Q217338,kabushiki gaisha,,,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q217493,aktiebolag,,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q217583,joint-stock company,5493000C01ZX7D35SD85,,1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q218139,société anonyme,969500SFFMSIHH11UO32,,1896-01-01T00:00:00Z
http://www.wikidata.org/entity/Q218746,Aktiengesellschaft,,,1965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q219203,kabushiki gaisha,,,1899-07-17T00:00:00Z
http://www.wikidata.org/entity/Q219501,aktiebolag,,,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q219508,public company,6SHGI4ZSSLCXXQSBB395,,1812-06-16T00:00:00Z
http://www.wikidata.org/entity/Q219635,public company,549300LRIF3NWCU26A80,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q220327,Aktiengesellschaft,,,1999-06-28T00:00:00Z
http://www.wikidata.org/entity/Q220485,joint-stock company,,,1983-01-01T00:00:00Z
http://www.wikidata.org/entity/Q220874,joint-stock company,,,1851-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221062,joint-stock company,GLU7INWNWH88J9XBXD45,,1802-07-01T00:00:00Z
http://www.wikidata.org/entity/Q221062,public company,GLU7INWNWH88J9XBXD45,,1802-07-01T00:00:00Z
http://www.wikidata.org/entity/Q223127,S.A.,,,1981-10-02T00:00:00Z
http://www.wikidata.org/entity/Q224751,limited liability company,,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q225440,corporation,,,1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q226889,public company,,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q226897,,,,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q229501,Aktiengesellschaft,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q229505,Aktiengesellschaft,,,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q230426,Aktiengesellschaft,,,1872-01-01T00:00:00Z
http://www.wikidata.org/entity/Q238181,Aktiengesellschaft,,,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q238765,public company,,,1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q240333,public company,,,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q245343,public company,G5GSEF7VJP5I7OUK5573,,1690-01-01T00:00:00Z
http://www.wikidata.org/entity/Q245386,corporation,,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q245772,public company,,,2007-07-01T00:00:00Z
http://www.wikidata.org/entity/Q246655,,,,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q246946,,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q247358,joint-stock company,,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q247489,public company,,,1891-01-01T00:00:00Z
http://www.wikidata.org/entity/Q247916,Aktiengesellschaft,,,
http://www.wikidata.org/entity/Q248699,joint-stock company,,,1932-08-27T00:00:00Z
http://www.wikidata.org/entity/Q248717,Aktiengesellschaft,,,1890-01-01T00:00:00Z
http://www.wikidata.org/entity/Q249190,public limited company,,,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q249798,joint-stock company,,,1836-01-01T00:00:00Z
http://www.wikidata.org/entity/Q249798,Naamloze vennootschap,,,1836-01-01T00:00:00Z
http://www.wikidata.org/entity/Q249798,joint-stock company,,,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q249798,Naamloze vennootschap,,,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q250362,open joint-stock company,,,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q251546,joint-stock company,,,1994-08-01T00:00:00Z
http://www.wikidata.org/entity/Q253423,aktiebolag,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q253967,joint-stock company,,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q255381,,,,2010-01-16T00:00:00Z
http://www.wikidata.org/entity/Q255661,aktieselskab,,,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q255661,aktieselskab,,,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q256290,Aktiengesellschaft,,,1905-01-01T00:00:00Z
http://www.wikidata.org/entity/Q256598,,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q258748,public company,,,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q259011,joint-stock company,,,1928-09-25T00:00:00Z
http://www.wikidata.org/entity/Q259013,public limited company,E26EDV109X6EEPBKVH76,,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q259195,public company,,,1816-01-01T00:00:00Z
http://www.wikidata.org/entity/Q260121,kabushiki gaisha,,,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q260833,public company,,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q151694,Aktiengesellschaft,,,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152051,Aktiengesellschaft,549300J4U55H3WP1XT59,,1863-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152057,public company,213800LH1BZH3DI6G760,,1908-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152057,public limited company,213800LH1BZH3DI6G760,,1908-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152096,public limited company,,,1869-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152433,joint-stock company,4KF48RN45X1OO8UBLY20,,1906-04-18T00:00:00Z
http://www.wikidata.org/entity/Q152695,Oy,,,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q152864,joint-stock company,549300E2OSYSGUTTFT68,,1989-04-01T00:00:00Z
http://www.wikidata.org/entity/Q153417,joint-stock company,6CPEOKI6OYJ13Q6O7870,,1883-01-01T00:00:00Z
http://www.wikidata.org/entity/Q154037,société anonyme,529900S21EQ1BO4ESM68,,1924-03-28T00:00:00Z
http://www.wikidata.org/entity/Q154387,public company,,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q154950,public limited company,21380068P1DRHMJ8KU70,,1907-01-01T00:00:00Z
http://www.wikidata.org/entity/Q155026,public company,D01LMJZU09ULLNCY6Z23,,1907-08-28T00:00:00Z
http://www.wikidata.org/entity/Q156077,société anonyme,529900JI1GG6F7RKVI53,,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q156238,U.S. corporation,J3WHBG0MTS7O8ZVMDC91,,1999-11-30T00:00:00Z
http://www.wikidata.org/entity/Q156578,Aktiengesellschaft,529900NNUPAGGOMPXZ31,,1937-05-28T00:00:00Z
http://www.wikidata.org/entity/Q156644,U.S. corporation,YR6K3WJN0KKLUPZSNL57,,1922-01-01T00:00:00Z
http://www.wikidata.org/entity/Q156829,Kommanditgesellschaft,529900AJLXERVU6GEY09,,1978-01-01T00:00:00Z
http://www.wikidata.org/entity/Q157064,Societas Europaea,529900GRZ2BQY5ZM9N49,,+0000-03-12T00:00:00Z
http://www.wikidata.org/entity/Q157064,public company,529900GRZ2BQY5ZM9N49,,+0000-03-12T00:00:00Z
http://www.wikidata.org/entity/Q157617,Aktiengesellschaft,851WYGNLUQLFZBSYGB56,,1870-01-01T00:00:00Z
http://www.wikidata.org/entity/Q157617,Aktiengesellschaft,851WYGNLUQLFZBSYGB56,,2017-10-01T00:00:00Z
http://www.wikidata.org/entity/Q157645,Aktiengesellschaft,8ER8GIG7CSMVD8VUFE78,,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q157852,Aktiengesellschaft,529900G3SW56SHYNPR95,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q157852,Aktiengesellschaft,529900G3SW56SHYNPR95,,2005-06-01T00:00:00Z
http://www.wikidata.org/entity/Q158205,société anonyme,549300E9PC51EN656011,,2004-08-20T00:00:00Z
http://www.wikidata.org/entity/Q158888,kabushiki gaisha,,,1955-07-01T00:00:00Z
http://www.wikidata.org/entity/Q159433,public company,LUZQVYP4VS22CLWDAR65,,1902-01-01T00:00:00Z
http://www.wikidata.org/entity/Q159614,kabushiki gaisha,,,1881-01-01T00:00:00Z
http://www.wikidata.org/entity/Q160054,société anonyme,,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q160229,sociedad anónima,549300EEJH4FEPDBBR25,,1924-04-19T00:00:00Z
http://www.wikidata.org/entity/Q160746,Aktiengesellschaft,KY37LUS27QQX7BB93L28,,1866-01-01T00:00:00Z
http://www.wikidata.org/entity/Q160746,public company,KY37LUS27QQX7BB93L28,,1866-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161086,joint-stock company,54930070J9H97ZO93T57,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161140,public limited company,213800ZVIELEA55JMJ32,,1997-12-01T00:00:00Z
http://www.wikidata.org/entity/Q161833,Aktiengesellschaft,,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q162345,joint-stock company,,,1958-10-01T00:00:00Z
http://www.wikidata.org/entity/Q162852,,,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q163241,Aktiengesellschaft,529900A7YD9C0LLXM621,,1871-01-01T00:00:00Z
http://www.wikidata.org/entity/Q163560,Societas Europaea,529900PXZU3YHO6HMD80,,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q163566,Aktiengesellschaft,529900VPRFDDIN7BE119,,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q163810,aktiebolag,,,1927-01-01T00:00:00Z
http://www.wikidata.org/entity/Q164740,kabushiki gaisha,,,1934-01-20T00:00:00Z
http://www.wikidata.org/entity/Q164740,kabushiki gaisha,,,2006-10-02T00:00:00Z
http://www.wikidata.org/entity/Q165684,corporation,,,1960-01-01T00:00:00Z
http://www.wikidata.org/entity/Q165858,corporation,L2TEUTQ8OSHMJWVLCE40,,1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q166621,kabushiki gaisha,,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q166621,kabushiki gaisha,,,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q166873,joint-stock company,,,1900-07-05T00:00:00Z
http://www.wikidata.org/entity/Q168115,kabushiki gaisha,,,1926-01-12T00:00:00Z
http://www.wikidata.org/entity/Q168238,Aktiengesellschaft,549300V62YJ9HTLRI486,,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q169167,Aktiengesellschaft,5299006EQ03K3SSUYS12,,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q169167,Aktiengesellschaft,5299006EQ03K3SSUYS12,,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q169339,public limited company,2138002658CPO9NBH955,,1974-01-01T00:00:00Z
http://www.wikidata.org/entity/Q169747,,,,1873-01-01T00:00:00Z
http://www.wikidata.org/entity/Q170416,public company,H1FJE8H61JGM1JSGM897,,1891-05-15T00:00:00Z
http://www.wikidata.org/entity/Q170416,Naamloze vennootschap,H1FJE8H61JGM1JSGM897,,1891-05-15T00:00:00Z
http://www.wikidata.org/entity/Q170614,Designated Activity Company,,,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q173395,joint-stock company,8E6NF1YAL0WT6CWXXV93,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q173476,joint-stock company,ZUNI8PYC725B6H8JU438,,1919-01-01T00:00:00Z
http://www.wikidata.org/entity/Q173941,public company,549300O7A67PUEYKDL45,,1982-05-28T00:00:00Z
http://www.wikidata.org/entity/Q174198,incorporation,,,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q174310,,549300S3IZB5P35KNV16,,1901-01-01T00:00:00Z
http://www.wikidata.org/entity/Q174769,limited company,,,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q175106,corporation,,,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q175835,Aktiengesellschaft,,,1870-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176508,kabushiki gaisha,,,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176572,kabushiki gaisha,,,1945-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176587,public company,2549003ZVBH73EPNS513,,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176712,joint-stock company,,,1978-01-01T00:00:00Z
http://www.wikidata.org/entity/Q177814,société anonyme,,,2008-07-22T00:00:00Z
http://www.wikidata.org/entity/Q178576,,,,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q178778,kabushiki gaisha,,,1936-01-01T00:00:00Z
http://www.wikidata.org/entity/Q179433,kabushiki gaisha,,,1931-01-01T00:00:00Z
http://www.wikidata.org/entity/Q180106,joint-stock company,XRT4MR5HXMYMNAZQA715,,1903-01-01T00:00:00Z
http://www.wikidata.org/entity/Q180476,Aktiengesellschaft,,,1895-01-01T00:00:00Z
http://www.wikidata.org/entity/Q180855,Naamloze vennootschap,724500K5PTPSST86UQ23,,1864-07-12T00:00:00Z
http://www.wikidata.org/entity/Q180922,public company,,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q181507,joint-stock company,7E1PDLW1JL6TS0BS1G03,,1811-01-01T00:00:00Z
http://www.wikidata.org/entity/Q182197,allmennaksjeselskap,,,1987-03-24T00:00:00Z
