business,businessLabel,officialnameLabel,shortnameLabel,locationLabel,countryLabel
http://www.wikidata.org/entity/Q72539,U.S. Steel,United States Steel Corporation,,,United States of America
http://www.wikidata.org/entity/Q73251,Symrise,,,,Germany
http://www.wikidata.org/entity/Q74877,JCDecaux,,,Lyon,France
http://www.wikidata.org/entity/Q80635,Airgas,,,,United States of America
http://www.wikidata.org/entity/Q80788,DNB Bank,DNB Bank ASA,,,Norway
http://www.wikidata.org/entity/Q80978,Hewlett-Packard,"Hewlett-Packard Development Company, L.P.",,Palo Alto,United States of America
http://www.wikidata.org/entity/Q81230,Siemens,,,Berlin,Germany
http://www.wikidata.org/entity/Q81965,General Motors,,,Detroit,United States of America
http://www.wikidata.org/entity/Q82467,Ankai,,,,People's Republic of China
http://www.wikidata.org/entity/Q83511,Zakłady Azotowe Puławy,,,,
http://www.wikidata.org/entity/Q83538,Keisei Electric Railway,"Keisei Electric Railway Co., Ltd.",,,Japan
http://www.wikidata.org/entity/Q83538,Keisei Electric Railway,京成電鉄株式会社,,,Japan
http://www.wikidata.org/entity/Q83584,Odakyu Electric Railway,"Odakyu Electric Railway Co., Ltd.",,Marunouchi,Japan
http://www.wikidata.org/entity/Q83584,Odakyu Electric Railway,小田急電鉄株式会社,,Marunouchi,Japan
http://www.wikidata.org/entity/Q83716,Aer Lingus,,,Dublin,Ireland
http://www.wikidata.org/entity/Q85355,Arnoldo Mondadori Editore,,,Ostiglia,Italy
http://www.wikidata.org/entity/Q93894,ASRock,ASRock Inc.,,,Taiwan
http://www.wikidata.org/entity/Q94933,Take-Two Interactive,,,,United States of America
http://www.wikidata.org/entity/Q102673,Gazprom,,,,Russia
http://www.wikidata.org/entity/Q105557,Embraer,Empresa Brasileira de Aeronáutica S.A.,,,Brazil
http://www.wikidata.org/entity/Q106158,Standard & Poor's,,,,
http://www.wikidata.org/entity/Q113215,Carlsberg Group,CARLSBERG BREWERIES A/S,,,Denmark
http://www.wikidata.org/entity/Q113405,Metall Zug,,,,
http://www.wikidata.org/entity/Q115880,Georgian Railway,,,,Georgia
http://www.wikidata.org/entity/Q116234,Saipa,,,,
http://www.wikidata.org/entity/Q116331,Reliance Infrastructure,,,,India
http://www.wikidata.org/entity/Q117059,Associated British Foods,,,,United Kingdom
http://www.wikidata.org/entity/Q118911,Konica Minolta,,,,Japan
http://www.wikidata.org/entity/Q119991,Apache Corporation,,,,
http://www.wikidata.org/entity/Q120371,Rapala,,,,
http://www.wikidata.org/entity/Q120433,Energopetrol,,,,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q124976,Coal India,,,,India
http://www.wikidata.org/entity/Q125074,Anheuser-Busch,,,,United States of America
http://www.wikidata.org/entity/Q126559,Credicorp,,,,
http://www.wikidata.org/entity/Q127074,Albemarle Corporation,,,Charlotte,United States of America
http://www.wikidata.org/entity/Q127955,Belgrade Nikola Tesla Airport,,,,Serbia
http://www.wikidata.org/entity/Q127962,Levi Strauss & Co.,,,San Francisco,United States of America
http://www.wikidata.org/entity/Q128577,ENEOS Holdings,"ENEOS Holdings, Inc.",,,Japan
http://www.wikidata.org/entity/Q128577,ENEOS Holdings,ENEOSホールディングス株式会社,,,Japan
http://www.wikidata.org/entity/Q128738,Anheuser-Busch InBev,,,,Belgium
http://www.wikidata.org/entity/Q128738,Anheuser-Busch InBev,,,,Brazil
http://www.wikidata.org/entity/Q128896,Advanced Micro Devices,,,Sunnyvale,United States of America
http://www.wikidata.org/entity/Q128929,MTU Aero Engines,,,Munich,Germany
http://www.wikidata.org/entity/Q129391,Scandic Hotels,,,Laxå,Sweden
http://www.wikidata.org/entity/Q130309,Norwegian Cruise Line,,,,
http://www.wikidata.org/entity/Q130889,Longyuan Power,,,,People's Republic of China
http://www.wikidata.org/entity/Q135281,Alexander & Baldwin,,,,
http://www.wikidata.org/entity/Q135325,Alcoa,,,Pittsburgh,United States of America
http://www.wikidata.org/entity/Q136027,ZEAG Energie,,,,Germany
http://www.wikidata.org/entity/Q136484,ZTE,,,,People's Republic of China
http://www.wikidata.org/entity/Q136542,Hochtief,,,,Germany
http://www.wikidata.org/entity/Q136570,Zalando SE,,,,Germany
http://www.wikidata.org/entity/Q136738,Mothercare,,,,
http://www.wikidata.org/entity/Q137803,Sumitomo Chemical,,,Ehime Prefecture,Japan
http://www.wikidata.org/entity/Q137910,thyssenkrupp AG,,,Essen,Germany
http://www.wikidata.org/entity/Q138736,QBE Insurance,,,,Australia
http://www.wikidata.org/entity/Q140676,rediff.com,,,India,India
http://www.wikidata.org/entity/Q142205,Faurecia,,,,France
http://www.wikidata.org/entity/Q143435,Unum,,,Tennessee,United States of America
http://www.wikidata.org/entity/Q143616,United Microelectronics Corporation,,,,Taiwan
http://www.wikidata.org/entity/Q143702,A-TEC Industries,,,,Austria
http://www.wikidata.org/entity/Q144060,Cray,,,,United States of America
http://www.wikidata.org/entity/Q144175,SDL PLC,,,,United Kingdom
http://www.wikidata.org/entity/Q144886,Zakłady Azotowe w Tarnowie-Mościcach,,,,
http://www.wikidata.org/entity/Q144888,Zakłady Chemiczne Police,,,,
http://www.wikidata.org/entity/Q145168,Dollar General,,,,
http://www.wikidata.org/entity/Q147224,HRG Group,,,,United States of America
http://www.wikidata.org/entity/Q268784,China Merchants Port,,,,People's Republic of China
http://www.wikidata.org/entity/Q270077,7digital,,,,
http://www.wikidata.org/entity/Q270223,E.ON SE,,,Düsseldorf,Germany
http://www.wikidata.org/entity/Q270363,Societé Génerale,,,,France
http://www.wikidata.org/entity/Q271413,AEON,,,,Japan
http://www.wikidata.org/entity/Q274372,888 Holdings,,,Antigua,
http://www.wikidata.org/entity/Q274591,Électricité de France,,,Paris,France
http://www.wikidata.org/entity/Q275623,Groupe PSA,Peugeot S.A.,,Paris,France
http://www.wikidata.org/entity/Q276345,Millicom,,,,
http://www.wikidata.org/entity/Q276507,Henkel AG & Co. KGaA,,,Aachen,Germany
http://www.wikidata.org/entity/Q276557,Kasikornbank,,,,Thailand
http://www.wikidata.org/entity/Q277115,Showa Shell Sekiyu,,,,Japan
http://www.wikidata.org/entity/Q278410,A.S. Création,,,,Germany
http://www.wikidata.org/entity/Q278810,Pennon Group,,,,United Kingdom
http://www.wikidata.org/entity/Q282997,Fox Racing Shox,,,,United States of America
http://www.wikidata.org/entity/Q283457,E. W. Scripps Company,,,,
http://www.wikidata.org/entity/Q283790,Flybe,,,Exeter,United Kingdom
http://www.wikidata.org/entity/Q283852,Turkcell,,,,Turkey
http://www.wikidata.org/entity/Q285161,iRobot,,,Bedford,United States of America
http://www.wikidata.org/entity/Q285328,Commonwealth Bank,,,Melbourne,Australia
http://www.wikidata.org/entity/Q285931,Imation,,,Maplewood,United States of America
http://www.wikidata.org/entity/Q286214,AAON,,,,
http://www.wikidata.org/entity/Q287471,ABN AMRO,,,,Netherlands
http://www.wikidata.org/entity/Q287744,Datang International Power Generation Company,,,,People's Republic of China
http://www.wikidata.org/entity/Q287820,Sanitas,,,,Lithuania
http://www.wikidata.org/entity/Q288129,ACCO Brands,,,,
http://www.wikidata.org/entity/Q289704,Old Mutual,,,,United Kingdom
http://www.wikidata.org/entity/Q289728,Luhanskteplovoz,,,Luhansk,Ukraine
http://www.wikidata.org/entity/Q289761,Federal-Mogul,,,,Germany
http://www.wikidata.org/entity/Q290661,Royal Boskalis Westminster,,,,Netherlands
http://www.wikidata.org/entity/Q290680,ADT Inc.,,,,United States of America
http://www.wikidata.org/entity/Q291090,China Southern Airlines,,,Guangzhou,People's Republic of China
http://www.wikidata.org/entity/Q291171,Aegon N.V.,,,,Netherlands
http://www.wikidata.org/entity/Q291390,AEG Power Solutions,,,,
http://www.wikidata.org/entity/Q291508,AES Corporation,,,,United States of America
http://www.wikidata.org/entity/Q291796,China Eastern Airlines,,,Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q291990,Q291990,,,,Switzerland
http://www.wikidata.org/entity/Q292291,AGEN Holding,,,,
http://www.wikidata.org/entity/Q292292,AGCO,,,Duluth,United States of America
http://www.wikidata.org/entity/Q292374,AGL Energy,,,,
http://www.wikidata.org/entity/Q292428,Hainan Airlines,,,Haikou,People's Republic of China
http://www.wikidata.org/entity/Q293008,Metro International,,,,
http://www.wikidata.org/entity/Q293796,Aimco,,,,
http://www.wikidata.org/entity/Q294508,ALROSA,,,,
http://www.wikidata.org/entity/Q294721,AMC Theatres,,,,
http://www.wikidata.org/entity/Q295118,Amec Foster Wheeler,,,,United Kingdom
http://www.wikidata.org/entity/Q295261,AMP Limited,,,,Australia
http://www.wikidata.org/entity/Q295774,Ansys,,,Canonsburg,United States of America
http://www.wikidata.org/entity/Q296053,AOPEN,,,,Taiwan
http://www.wikidata.org/entity/Q296134,APG-SGA,,,,
http://www.wikidata.org/entity/Q296372,aQuantive,,,,
http://www.wikidata.org/entity/Q296455,ARBOmedia,,,,Romania
http://www.wikidata.org/entity/Q296498,ARC Resources,,,,Canada
http://www.wikidata.org/entity/Q297879,ASML Holding,,,,Netherlands
http://www.wikidata.org/entity/Q298758,ATB AG,,,,Austria
http://www.wikidata.org/entity/Q300120,AU Optronics,,,,Taiwan
http://www.wikidata.org/entity/Q301965,Sprint Corporation,,,,United States of America
http://www.wikidata.org/entity/Q302251,Frontier Developments,,,Cambridge,United Kingdom
http://www.wikidata.org/entity/Q302850,Steyr Motors,,,,Austria
http://www.wikidata.org/entity/Q303341,Wyndham Worldwide,,,,United States of America
http://www.wikidata.org/entity/Q303580,D-Link,"D-Link Systems, Inc.",,,Taiwan
http://www.wikidata.org/entity/Q303710,Aastra Technologies,,,,Canada
http://www.wikidata.org/entity/Q304509,MCA Inc.,,,Chicago,United States of America
http://www.wikidata.org/entity/Q304962,Mitsubishi Estate,,,,Japan
http://www.wikidata.org/entity/Q305393,First Pacific,,,,
http://www.wikidata.org/entity/Q305473,IQVIA,,,,United States of America
http://www.wikidata.org/entity/Q306457,French Connection,,,,
http://www.wikidata.org/entity/Q306764,Abbott Laboratories,,,Chicago,United States of America
http://www.wikidata.org/entity/Q309084,Alstom,,,,France
http://www.wikidata.org/entity/Q309865,Tele2,,,,Sweden
http://www.wikidata.org/entity/Q310481,OSRAM Licht AG,,,Munich,Germany
http://www.wikidata.org/entity/Q313542,Tsingtao Brewery,,,,People's Republic of China
http://www.wikidata.org/entity/Q315287,Qiagen,,,,Netherlands
http://www.wikidata.org/entity/Q317402,Berliner Kindl,Vereinsbrauerei Berliner Gastwirte zu Berlin AG,,Neukölln,Germany
http://www.wikidata.org/entity/Q317402,Berliner Kindl,Vereinsbrauerei Rixdorf,,Neukölln,Germany
http://www.wikidata.org/entity/Q317402,Berliner Kindl,Vereinsbrauerei Berliner Gastwirte zu Berlin AG,,Neukölln,German Reich
http://www.wikidata.org/entity/Q317402,Berliner Kindl,Vereinsbrauerei Rixdorf,,Neukölln,German Reich
http://www.wikidata.org/entity/Q317513,HHLA,,,,Germany
http://www.wikidata.org/entity/Q318670,OVB Holding,,,,Germany
http://www.wikidata.org/entity/Q319039,Abengoa,,,,Spain
http://www.wikidata.org/entity/Q319344,Abercrombie & Fitch,,,Manhattan,United States of America
http://www.wikidata.org/entity/Q319642,Chevron Corporation,Chevron,,,United States of America
http://www.wikidata.org/entity/Q319730,Abertis,,,,Spain
http://www.wikidata.org/entity/Q319915,Tarkett,,,,France
http://www.wikidata.org/entity/Q320364,Gelsenwasser,,,,Germany
http://www.wikidata.org/entity/Q322153,Meritor,,,,United States of America
http://www.wikidata.org/entity/Q322320,Level 3 Communications,,,,United States of America
http://www.wikidata.org/entity/Q322320,Level 3 Communications,,,,Germany
http://www.wikidata.org/entity/Q322601,Seiko,,,Chūō-ku,Japan
http://www.wikidata.org/entity/Q322962,Garanti BBVA,,,,Turkey
http://www.wikidata.org/entity/Q324029,Hays plc,,,,United Kingdom
http://www.wikidata.org/entity/Q324616,Ingram Micro,,,,
http://www.wikidata.org/entity/Q324846,Eurofins Scientific SE,,,Nantes,France
http://www.wikidata.org/entity/Q324901,Transcend Information,,,,Taiwan
http://www.wikidata.org/entity/Q325789,Jefferies & Company,,,,Germany
http://www.wikidata.org/entity/Q326345,Public Power Corporation SA,,,,Greece
http://www.wikidata.org/entity/Q326700,Nippon Sheet Glass,,,Osaka,Japan
http://www.wikidata.org/entity/Q327247,ASICS,,,,Japan
http://www.wikidata.org/entity/Q327429,Wärtsilä,,,,Finland
http://www.wikidata.org/entity/Q327646,Enron,,,,United States of America
http://www.wikidata.org/entity/Q66,Boeing,THE BOEING COMPANY,,Seattle,United States of America
http://www.wikidata.org/entity/Q95,Google,Google Inc.,Google,Menlo Park,United States of America
http://www.wikidata.org/entity/Q95,Google,Google LLC,Google,Menlo Park,United States of America
http://www.wikidata.org/entity/Q248,Intel,Intel Corporation,,,United States of America
http://www.wikidata.org/entity/Q312,Apple Inc.,Apple Inc.,Apple,Los Altos,United States of America
http://www.wikidata.org/entity/Q380,"Facebook, Inc.",,,Cambridge,United States of America
http://www.wikidata.org/entity/Q1418,Nokia,Nokia Corporation,,Nokia,Finland
http://www.wikidata.org/entity/Q1418,Nokia,Nokia Oyj,,Nokia,Finland
http://www.wikidata.org/entity/Q1418,Nokia,Nokia Abp,,Nokia,Finland
http://www.wikidata.org/entity/Q1422,Juventus F.C.,,,,Italy
http://www.wikidata.org/entity/Q2283,Microsoft,Microsoft Corporation,,Albuquerque,United States of America
http://www.wikidata.org/entity/Q2311,Airbus Group,Airbus SE,Airbus,,France
http://www.wikidata.org/entity/Q3312,Piraeus Bank,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,,,Greece
http://www.wikidata.org/entity/Q3312,Piraeus Bank,PIRAEUS BANK SA,,,Greece
http://www.wikidata.org/entity/Q3884,Amazon,"AMAZON.COM, INC.",,Seattle,United States of America
http://www.wikidata.org/entity/Q3895,Adidas,,,,Germany
http://www.wikidata.org/entity/Q4548,Turkish Airlines,Türk Hava Yolları Anonim Ortaklığı,,Istanbul,Turkey
http://www.wikidata.org/entity/Q4995,SABMiller,,,Johannesburg,United Kingdom
http://www.wikidata.org/entity/Q5281,Yandex,Yandex N.V.,Яндекс,,Russia
http://www.wikidata.org/entity/Q5281,Yandex,ООО «Яндекс»,Яндекс,,Russia
http://www.wikidata.org/entity/Q5281,Yandex,Yandex N.V.,Yandex,,Russia
http://www.wikidata.org/entity/Q5281,Yandex,ООО «Яндекс»,Yandex,,Russia
http://www.wikidata.org/entity/Q6686,Renault,,,Boulogne-Billancourt,France
http://www.wikidata.org/entity/Q7240,Lockheed Martin,,,,United States of America
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,Disney Brothers Cartoon Studio,,Burbank,United States of America
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,Walt Disney Productions,,Burbank,United States of America
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,Walt Disney Studio,,Burbank,United States of America
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,The Walt Disney Company,,Burbank,United States of America
http://www.wikidata.org/entity/Q8061,DNA,,,,Finland
http://www.wikidata.org/entity/Q8093,Nintendo,"Nintendo Co., Ltd.",,Japan,Japan
http://www.wikidata.org/entity/Q8093,Nintendo,任天堂株式会社,,Japan,Japan
http://www.wikidata.org/entity/Q8766,British Airways,,,London,United Kingdom
http://www.wikidata.org/entity/Q8774,International Airlines Group,,,Paris,Spain
http://www.wikidata.org/entity/Q8774,International Airlines Group,,,Paris,United Kingdom
http://www.wikidata.org/entity/Q9325,Lufthansa,DeutscheLufthansa AG,,Berlin,Germany
http://www.wikidata.org/entity/Q9396,Deutsche Telekom,,,,Germany
http://www.wikidata.org/entity/Q9401,BASF,,,Jungbusch,Germany
http://www.wikidata.org/entity/Q9584,Honda,,,Tokyo,Japan
http://www.wikidata.org/entity/Q11407,VMware Inc.,,,,United States of America
http://www.wikidata.org/entity/Q11463,Adobe,,,San Jose,United States of America
http://www.wikidata.org/entity/Q13683,NYSE Euronext,,,,
http://www.wikidata.org/entity/Q14647,Sun Microsystems,,,,United States of America
http://www.wikidata.org/entity/Q14772,Baidu,,,,People's Republic of China
http://www.wikidata.org/entity/Q14799,Lenovo,,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q15805,Hutchison Whampoa,Hutchison Whampoa Limited,,,
http://www.wikidata.org/entity/Q15805,Hutchison Whampoa,和記黃埔有限公司,,,
http://www.wikidata.org/entity/Q18224,Maersk,,,Copenhagen,Denmark
http://www.wikidata.org/entity/Q19593,Celtic F.C.,,,,United Kingdom
http://www.wikidata.org/entity/Q19900,Oracle,,,Santa Clara,United States of America
http://www.wikidata.org/entity/Q20165,Nissan,,,Yokohama,Japan
http://www.wikidata.org/entity/Q20718,Samsung Electronics,,,Seoul,South Korea
http://www.wikidata.org/entity/Q21077,Warner Music Group,,WMG,New York City,United States of America
http://www.wikidata.org/entity/Q23317,Audi,,,Zwickau,Germany
http://www.wikidata.org/entity/Q25775,Affiliated Managers Group,,,,
http://www.wikidata.org/entity/Q25796,AGL Resources,,,,
http://www.wikidata.org/entity/Q25996,Hopson Development,,,,
http://www.wikidata.org/entity/Q26049,Aetna,,,,United States of America
http://www.wikidata.org/entity/Q26298,Agricultural Bank of China,,,,People's Republic of China
http://www.wikidata.org/entity/Q26299,China Construction Bank,,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q26311,Aflac,,,,
http://www.wikidata.org/entity/Q26463,Industrial and Commercial Bank of China,中国工商银行股份有限公司,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q26678,BMW,,,,Germany
http://www.wikidata.org/entity/Q26694,Outokumpu,,,,Finland
http://www.wikidata.org/entity/Q26989,Infosys,,,,India
http://www.wikidata.org/entity/Q27065,Gogo Inflight Internet,,,,United States of America
http://www.wikidata.org/entity/Q27074,Aston Martin Lagonda,,,London,United Kingdom
http://www.wikidata.org/entity/Q27511,Daihatsu,,,,Japan
http://www.wikidata.org/entity/Q27530,Daimler AG,,,Stuttgart,Germany
http://www.wikidata.org/entity/Q27597,Fiat,,,Turin,Italy
http://www.wikidata.org/entity/Q27893,ArcelorMittal,,,,Luxembourg
http://www.wikidata.org/entity/Q28255,cdv Software Entertainment,,,,Germany
http://www.wikidata.org/entity/Q29366,Changan Automobile,,,,People's Republic of China
http://www.wikidata.org/entity/Q29739,Navistar International,,,Chicago,
http://www.wikidata.org/entity/Q30378,Kamaz,,,,Russia
http://www.wikidata.org/entity/Q30850,Meitetsu,"Nagoya Railroad Co., Ltd.",名鉄,Nagoya,Japan
http://www.wikidata.org/entity/Q30850,Meitetsu,名古屋鉄道株式会社,名鉄,Nagoya,Japan
http://www.wikidata.org/entity/Q30873,Dell Inc.,,,Austin,United States of America
http://www.wikidata.org/entity/Q32141,Cathay Pacific,Cathay Pacific Airways Limited,,Shanghai,Hong Kong
http://www.wikidata.org/entity/Q32141,Cathay Pacific,國泰航空有限公司,,Shanghai,Hong Kong
http://www.wikidata.org/entity/Q32245,Singapore Airlines,,,Singapore,Singapore
http://www.wikidata.org/entity/Q32396,American Airlines,,,Fort Worth,United States of America
http://www.wikidata.org/entity/Q32491,Qantas,,,,Australia
http://www.wikidata.org/entity/Q35339,WWE,,,South Yarmouth,United States of America
http://www.wikidata.org/entity/Q35476,AT&T,,,,United States of America
http://www.wikidata.org/entity/Q35953,MAN Truck & Bus,,,,Germany
http://www.wikidata.org/entity/Q35996,Mazda,,,,Japan
http://www.wikidata.org/entity/Q36033,Mitsubishi Motors,,MMC,Tokyo,Japan
http://www.wikidata.org/entity/Q37156,IBM,International Business Machines Corporation,IBM Corporation,Endicott,United States of America
http://www.wikidata.org/entity/Q37156,IBM,International Business Machines Corporation,International Business Machines Corp.,Endicott,United States of America
http://www.wikidata.org/entity/Q37156,IBM,International Business Machines Corporation,IBM,Endicott,United States of America
http://www.wikidata.org/entity/Q37158,Starbucks,,,Pike Place Market,United States of America
http://www.wikidata.org/entity/Q38076,McDonald’s,McDonald's Corporation,,San Bernardino,United States of America
http://www.wikidata.org/entity/Q38676,Agnico-Eagle Mines,,,,Canada
http://www.wikidata.org/entity/Q38928,PNC Financial Services,,,,United States of America
http://www.wikidata.org/entity/Q38960,China CITIC Bank,,,,People's Republic of China
http://www.wikidata.org/entity/Q39146,Bank of Beijing,,,,People's Republic of China
http://www.wikidata.org/entity/Q39586,Talvivaara Mining Company,Ahtium Oyj,,,Finland
http://www.wikidata.org/entity/Q40650,Imperial Oil,,,London,Canada
http://www.wikidata.org/entity/Q41187,Sony,,,Nihonbashi,Japan
http://www.wikidata.org/entity/Q44294,Ford Motor Company,,,Dearborn,United States of America
http://www.wikidata.org/entity/Q1061903,Live Nation Entertainment,,,,
http://www.wikidata.org/entity/Q1064887,Walmart de México y Centroamérica,,,,
http://www.wikidata.org/entity/Q1064900,Asahi Broadcasting Group Holdings,Asahi Broadcasting Group Holdings Corporation,,Osaka,Japan
http://www.wikidata.org/entity/Q1064900,Asahi Broadcasting Group Holdings,朝日放送グループホールディングス株式会社,,Osaka,Japan
http://www.wikidata.org/entity/Q1065090,Intersil,,,,United States of America
http://www.wikidata.org/entity/Q1065539,Jiangling Motors,,,,People's Republic of China
http://www.wikidata.org/entity/Q1065835,UTair Aviation,,,Tyumen,Russia
http://www.wikidata.org/entity/Q1066018,Toei Company,,,Tokyo,Japan
http://www.wikidata.org/entity/Q1066028,Charles Schwab Corporation,,,,
http://www.wikidata.org/entity/Q1066326,Charles Vögele,,,,
http://www.wikidata.org/entity/Q1066620,Altium Limited,,,,
http://www.wikidata.org/entity/Q1066858,Tiffany & Co.,,,New York City,United States of America
http://www.wikidata.org/entity/Q1067998,Cirrus Logic,,,Salt Lake City,United States of America
http://www.wikidata.org/entity/Q1068485,China Unicom,,,,People's Republic of China
http://www.wikidata.org/entity/Q1069924,Zipcar,,,Cambridge,
http://www.wikidata.org/entity/Q1071712,Chiba Bank,,,,Japan
http://www.wikidata.org/entity/Q1071853,Chicago Board Options Exchange,,,,United States of America
http://www.wikidata.org/entity/Q1072571,Chihong Zinc and Germanium,,,,People's Republic of China
http://www.wikidata.org/entity/Q1072615,iShares,,,,
http://www.wikidata.org/entity/Q1073236,China Communications Construction,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073240,China Coal Energy,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073291,China International Marine Containers,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073306,China Life Insurance Company,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073327,China Merchants Bank,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073463,China Overseas Land and Investment Limited,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073482,China Railway Construction Corporation Limited,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073502,Q1073502,,,,
http://www.wikidata.org/entity/Q1073509,China Shenhua Energy Company,,,,People's Republic of China
http://www.wikidata.org/entity/Q1073540,China Telecommunications Corporation,,,,People's Republic of China
http://www.wikidata.org/entity/Q1075788,Choice Hotels,,,United States of America,
http://www.wikidata.org/entity/Q1076089,Morinaga & Company,,,,Japan
http://www.wikidata.org/entity/Q1076645,Club Med,,,Kinshasa,France
http://www.wikidata.org/entity/Q1083470,Echelon Corporation,,,San Jose,
http://www.wikidata.org/entity/Q1087980,Sumitomo Dainippon Pharma,"Sumitomo Dainippon Pharma Co., Ltd.",,,Japan
http://www.wikidata.org/entity/Q1087980,Sumitomo Dainippon Pharma,大日本住友製薬株式会社,,,Japan
http://www.wikidata.org/entity/Q1089060,Chubb Corp.,,,,
http://www.wikidata.org/entity/Q1090900,Goldwind,,,,People's Republic of China
http://www.wikidata.org/entity/Q1091203,Chubu Electric Power,,,,Japan
http://www.wikidata.org/entity/Q1091682,Cicor,,,,Switzerland
http://www.wikidata.org/entity/Q1091783,Ciena,,,,
http://www.wikidata.org/entity/Q1092571,Cintas,,,,
http://www.wikidata.org/entity/Q1096013,Fairchild Semiconductor,,,San José,United States of America
http://www.wikidata.org/entity/Q1096390,Yamada Denki,,,Sōja-machi Sōja,Japan
http://www.wikidata.org/entity/Q1100868,Clevo,,,,
http://www.wikidata.org/entity/Q1101230,Zojirushi Corporation,,,,Japan
http://www.wikidata.org/entity/Q1101323,Kader,,,,
http://www.wikidata.org/entity/Q1104787,Coty,,,Paris,
http://www.wikidata.org/entity/Q1104910,Coca-Cola Hellenic,,,Athens,
http://www.wikidata.org/entity/Q1105518,Codan,Codan Limited,,,Australia
http://www.wikidata.org/entity/Q1106938,Cogent Communications,,,,
http://www.wikidata.org/entity/Q1107035,Cognizant,,,,United States of America
http://www.wikidata.org/entity/Q1107088,"Coherent, Inc.",,,,United States of America
http://www.wikidata.org/entity/Q1108210,Colexon Energy,,,,Germany
http://www.wikidata.org/entity/Q1110323,Myer,,,,Australia
http://www.wikidata.org/entity/Q1110766,Colonia Real Estate,,,,Germany
http://www.wikidata.org/entity/Q1111020,Colony Capital,,,,United States of America
http://www.wikidata.org/entity/Q1111196,Q1111196,,,,Switzerland
